r_points,r_text,place,,,,
40,"I have visited several times, mostly with family and also foreign guests for business lunch or dinner.This is one of the few places in Cyprus where Greek food actually resembles the one you get in Greece, includes many old-school traditional dishes, all the meats are well cooked (pork chops, chicken souvlaki and fillet are juicy and delicious, never dry), although there is a tendency for over-salting…The variety is great, there is something for everyone, but it may be confusing to choose from such a long menu.The staff is fast, polite and helpful, the atmosphere is unique and a sort of an entertainment by itself, can get quite noisy though and the lights are too strong to my taste.As for the price, you can easily have a filling tasty meal on a budget, but if you fall into the trap of trying-out a selection of several hot and cold dishes with your ouzo then you may be unpleasantly surprised with the bill.",To Elliniko Ouzomezedopoleio,Review 95 Similarity,0.470881609,Review 15 Similarity,0
50,i have visited the restaurant several times over the last 6 months. The service is excellent. the food is traditional and tasty The service is excellent,To Elliniko Ouzomezedopoleio,Review 116 Similarity,0.470881609,Review 16 Similarity,0
50,My husband and I were in Nicosia for business and stayed at the Hilton Park Hotel. This restaurant is connected to the Hilton Park and was fabulous! The food was so wonderful that we ate there four different times. The staff was very friendly and our meals arrived in a timely manner.,To Elliniko Ouzomezedopoleio,Review 29 Similarity,0.468521286,Review 17 Similarity,0
20,"This was our first time to this restaurant and it will probably be the last.The nice setting reminds of Greece and sets a very high standard of expectations for the food and the service.Unfortunately the actual experience was anything but! Service was amateurish with almost all dishes mixed up between the 4 of us. What was worse was that the service felt ""cold"" definitely not reminiscent of Greek or Cypriot hospitality.Food was ok but only that.....We won't be going back any time soon.",To Elliniko Ouzomezedopoleio,Review 166 Similarity,0.454532411,Review 19 Similarity,0
50,After trying almost all dishes ! we really enjoyed seafood and especially the baked sea bread and small meze like salted/ Marinated fish really tasty!!!!,To Elliniko Ouzomezedopoleio,Review 82 Similarity,0.441726104,Review 21 Similarity,0
50,"Great variety with several dishes.Usual starters with tasty saladsMeat dishes are nice, not too cooked but tasty!Decoration is OK a bit not so authentic as it shouldAll in all they offer a nice selection of meat, veg and fish dishes for all tastes.Recommended.",To Elliniko Ouzomezedopoleio,Review 158 Similarity,0.441726104,Review 22 Similarity,0
50,"Unique dishes and wonderful tastes that give you a delightful experience..great quality of food, service and enviroment..",To Elliniko Ouzomezedopoleio,Review 107 Similarity,0.419058177,Review 23 Similarity,0
40,"Located in the Hilton Park in engomi, this restaurant serves the best Greek Food, food market or mezze, had the best Greek food so far, friendly service and great for large group of people …..",To Elliniko Ouzomezedopoleio,Review 22 Similarity,0.41665471,Review 24 Similarity,0
50,We ordered from quick lunch menu 6 different dishes and it was all great! We will visit them again and again! The staff was exellent. Congrats to the chef,To Elliniko Ouzomezedopoleio,Review 178 Similarity,0.390434405,Review 29 Similarity,0
50,"We were staying in Hilton Park and therefore decided to try this restaurant as it is located just next door and offers Greek cuisine. We were extremely impressed, the food by its one deserves a 5 out of 5. Portions were massive, so we got full after 2 appetizers already. Overall we have tried about 6 menu items and all were extremely delicious, made out of local ingredients, including lots of tomatoes and feta cheese. I would also like to mention tons of vegetarian options in the menu which I was extremely pleased by. Staff did not seems to go ""extra mile"" though, despite suggesting several menu items for our taste, which we gladly accepted. But it does not spoiled our overall experience, so we will definitely be back!",To Elliniko Ouzomezedopoleio,Review 188 Similarity,0.389833274,Review 30 Similarity,0
50,"Excellent food, original Greek restaurant. High quality of service and nice atmosphere. Totally recommended",To Elliniko Ouzomezedopoleio,Review 73 Similarity,0.386510341,Review 31 Similarity,0
50,"If in the neighbourhood this is a good restaurant for local food. We had souvlaki and chops and salads. Really enjoyed the evening, good service and nice environment.",To Elliniko Ouzomezedopoleio,Review 87 Similarity,0.386510341,Review 32 Similarity,0
40,"Absolutely perfect food, all the dishes were very tasty. Very good service and polite staff. Just one parameter that can be improved: we seated at the terrace facing the main road and our plates (although facing upside down) and cutlery were dusty. It would be better not to have the tables already set up but prepare upon guests arrival.",To Elliniko Ouzomezedopoleio,Review 132 Similarity,0.382546028,Review 35 Similarity,0
40,"We will go again to try more dishes as seems to be interesting. What we eat was tasty, portions were small (chicken souvlaki and pork pansetakia were not enough for 5 persons) but we were not too hungry so was okey.Atmosphere was warm and homely,decoration unique,service excellent and prices reasonable. Recommended.",To Elliniko Ouzomezedopoleio,Review 230 Similarity,0.382546028,Review 36 Similarity,0
40,"Come in for dinner with few friends, restaurant with nice atmosphere and music (local) starters were great and wine was nice. Mains were huge and generous, had a great smoked pork chops. Desert was ok. Very nice and fast service Good coffee",To Elliniko Ouzomezedopoleio,Review 28 Similarity,0.37877701,Review 37 Similarity,0
50,"The best restaurant in town especially for lunch! Every time i visit Elliniko is getting better an better. Atmosphere is really nice, the staff are friendly and always taking care their customers. The manager is absolutely the one every business is looking for to hire, he knows what he is doing. He's a gentleman, period. I definitely recommend it to everyone who likes good food and great atmosphere.",To Elliniko Ouzomezedopoleio,Review 152 Similarity,0.376705287,Review 38 Similarity,0
50,Excellent food & Excellent service. The variety of dishes served there is really huge. The dishes taste great and are always served with a smile. Strongly & highly recommended!,To Elliniko Ouzomezedopoleio,Review 235 Similarity,0.376705287,Review 39 Similarity,0
50,"Previous Friday I had the pleasure to be a guest again at To Elliniko. Our group was 60+ guests and therefore probably had an impact on staff and kitchen.Quality of food: I have never been disappointed with the food served at To Elliniko. This Greek Meze is compared to the Cyprus version absolute A class. Obviously there are personal preferences but in general it is very good. They take care of every piece of the menu and that is praiseworthy.Hosts: It is not easy to handle a crowd of 60 people and serve their food at the right temperature almost at the same time, but Mario and his team did it.This restaurant is absolutely one of my favorites in Nicosia.",To Elliniko Ouzomezedopoleio,Review 172 Similarity,0.362915027,Review 44 Similarity,0
40,"Located within the Hilton park hotel Nicosia. The food was well presented and tasty mainly the chicken with bulgur. The desert was just ok(ekmek kadyifi). The service was average, should be much better!",To Elliniko Ouzomezedopoleio,Review 3 Similarity,0.360667854,Review 45 Similarity,0
50,We had an occasional visit to this establishment and we really enjoyed our time here. The service was great and the food very delicious,To Elliniko Ouzomezedopoleio,Review 53 Similarity,0.360667854,Review 46 Similarity,0
40,"Very Good for a business meeting. Very tasty small dishes but we had to pay 94 euro for 4 persons per visit. Plenty of parking, very pleasant personell",To Elliniko Ouzomezedopoleio,Review 149 Similarity,0.360667854,Review 47 Similarity,0
30,"We visited To Elliniko several times since its inauguration; the food was mostly fine with few exceptions, but the service was below standards in every aspect; the waiters were doing their best, but they lacked the experience, and the food took very long to be served.The worst thing was serving the main course for each guest separately with 15 minutes gap between guests; we had to wait for the last dish to be served; making the food cold and inaudible. The first time we experienced this inefficiency was on Saturday and the restaurant was full; so we didn't complain, but the last visit was on Tuesday; we were the second table, still the 3 main courses arrived 20 minutes apart and we finished our lunch in 2 hours where a total of 10 guests were served by 3 waitresses.There is no doubt that the service team needs experience and training, the kitchen staff need better coordination internally and clear communication with the service staff.",To Elliniko Ouzomezedopoleio,Review 202 Similarity,0.358209285,Review 49 Similarity,0
40,I had a dinner party there with my friends. the quality of food was great and very tasty nice people friendly environment. Reasonable prices,To Elliniko Ouzomezedopoleio,Review 238 Similarity,0.354168802,Review 52 Similarity,0
50,"The restaurant is in the heart of Nicosia, and features a modern take on the traditional decor which creates a fresh space and immenses you in the true mezedopoleio experience. Make your own meze (dishes to share) and taste the most delicious Greek food made with the best quality raw ingredients. This is food to fall in love with and don't forget dessert..! Try the baby shrimps, the aubergine wrapped soutzoukaki, the zucchini fried balls, obviously the dakos, the white taramas, or taste some traditional Greek cheeses with your ouzo for an authentic Greek experience!",To Elliniko Ouzomezedopoleio,Review 231 Similarity,0.351390964,Review 54 Similarity,0
50,"Amazing food and great service, low prices for authentic greek cusine, for sure the best in town by far",To Elliniko Ouzomezedopoleio,Review 176 Similarity,0.349215148,Review 55 Similarity,0
50,located very centrally. seating in & out. lovely interior. great quality greek dishes from fish to meat and salads from various cuisines of Greece . very friendly & helpful staff. great prices will definitely visit again.,To Elliniko Ouzomezedopoleio,Review 126 Similarity,0.345705359,Review 56 Similarity,0
50,"Had dinner here with family and friends. Interesting menu, excellent and attentive service, very tasty food, good portions, comfortable seating, pleasant atmosphere, reasonable prices. An enjoyable evening and would gladly return.",To Elliniko Ouzomezedopoleio,Review 32 Similarity,0.331294578,Review 58 Similarity,0
40,"Situated next to Hilton Park Hotel. Very tasty food, slightly on the expensive side. Waiters are knowledgeable",To Elliniko Ouzomezedopoleio,Review 61 Similarity,0.331294578,Review 59 Similarity,0
40,"Very good restaurant in a greek environment. The staff, especially George Konstantinides, are extremely polite and professional! Ask for his suggestions on food. Try also the traditional Greek deserts",To Elliniko Ouzomezedopoleio,Review 138 Similarity,0.331294578,Review 61 Similarity,0
30,"I could clearly undestand that ""mezedes"" stands for small portions, however charging a small portion for a price of a normal meal is not a good idea.Either they have to drop prices so we can order more variety, or they have to increase the size of portionsRegarding the taste, is not a typical Greek restaurant if you have eaten in Greece, is more like Greek atmosphere with a local taste.",To Elliniko Ouzomezedopoleio,Review 159 Similarity,0.331294578,Review 62 Similarity,0
50,"Been there twice the past 12 months and theie food is amazing, service is great. The only thing i would change is that they bring the food too fast. It would be better if they paced it a bit.",To Elliniko Ouzomezedopoleio,Review 100 Similarity,0.318788357,Review 64 Similarity,0
30,The food was nice but the one of our dishes never arrived. No one noticed until we asked for them to remove it from the bill.They could improve a bit on the service.,To Elliniko Ouzomezedopoleio,Review 7 Similarity,0.312347524,Review 68 Similarity,0
40,Went for dinner with customers Nice big location also with dehor Great mix of different greek dishes from salads to feta and suvlaki Definitely suggested,To Elliniko Ouzomezedopoleio,Review 190 Similarity,0.312347524,Review 72 Similarity,0
50,"The best by far Greek style(original) ouzo-meze restaurant in Nicosia. Excellent authentic Greek recepies, cheeses, vegetables, ouzo and wine. Well trained waiters and cooks, very decent atmosphere, Open for lunch and dinner, most of the times need a reservation. Very good value for money, prices considerably high.",To Elliniko Ouzomezedopoleio,Review 239 Similarity,0.312347524,Review 73 Similarity,0
40,"very nice little tavern with menu in greek and in english..very interesting menu, a bit different from the usual meze with tasty food...and deserts :) lovely house wine at very affordable prices...friendly staff...the only thing I don't like (and I get annoyed each time I go there ) are the table with rounded feet...which mean you have to seat sideways and try to squeeze your feet somewhere...",To Elliniko Ouzomezedopoleio,Review 164 Similarity,0.282528966,Review 76 Similarity,0
50,Its been said that the greek meze is all little dishes. Here is not the case its more like portions so be careful with what you order as the food they bring is alot. There is alot to pick from the menu as they have a wide variety of different dishes. And try their barreled wine its verry good. Good for couples or with a few friends.,To Elliniko Ouzomezedopoleio,Review 212 Similarity,0.282528966,Review 78 Similarity,0
50,"Very good quality food with exceptional tastes from the Greek traditional cuisine. Great variety of choices on the menu. One of the best, f not the best service available with staff willing to explain everything on the menu and always available for anything needed!!!",To Elliniko Ouzomezedopoleio,Review 232 Similarity,0.282528966,Review 79 Similarity,0
50,Excellent tasty food with many choices that would satisfy every demanding customer professional and friendly service!!! Totally recommended !!! Don’t forget the deserts definitely worth every bite,To Elliniko Ouzomezedopoleio,Review 69 Similarity,0.279372118,Review 81 Similarity,0
40,"The food is very good and tasty. The surrounding inside is spacious and bright. No smoking is allowed on the inside, which is good compared to other restaurants in Cyprus. The service is efficient, the portions sufficient and the prices reasonable.",To Elliniko Ouzomezedopoleio,Review 251 Similarity,0.276078815,Review 84 Similarity,0
40,"Love both the meat and fish dishes here. Very well-made, good presentation and perfect seasoning. Service is prompt and efficient. One of my favorites in Nicosia.",To Elliniko Ouzomezedopoleio,Review 17 Similarity,0.27050089,Review 85 Similarity,0
40,It gives me another dimension to Greek crusine. Love the fried goat cheese and the grilled sardine fillets. Wish I had more companion to share the food with as there are so many more dishes which I love to try.,To Elliniko Ouzomezedopoleio,Review 51 Similarity,0.27050089,Review 86 Similarity,0
50,"Great food for all tastes, beautiful environment and friendly and polite people. Highly recommended!!",To Elliniko Ouzomezedopoleio,Review 74 Similarity,0.27050089,Review 87 Similarity,0
50,The best greek food! Its my favourite option for lunch during work days!If its for weekdays there are many options for the quick lunch offer (12:00-16:00) where you can combine different appetizers with different main dishes every time! My favourite combo is the aggourontomata salad or kolokythokeftedes with chicken fillet or souvlaki which are considered as healthy options since are cooked on grill!,To Elliniko Ouzomezedopoleio,Review 117 Similarity,0.27050089,Review 88 Similarity,0
30,"Nice menu with delicious, freshly made and tasteful dishes but the price and quantity is disappointing",To Elliniko Ouzomezedopoleio,Review 120 Similarity,0.27050089,Review 89 Similarity,0
50,"Very pleasant environment and friendly staff that offer quick service. Perhaps the music should be turned a notch down at times. The menu has several options from greek cuisine, not too many, but still enough to cover more than one visits. Prices on the upper average side. Portions are very good. The food is well prepared and delicious, reminiscent of modern greek restaurants. With the exception of the salad, which was decent but not something in particular, all dishes (in our two visits) were memorable.",To Elliniko Ouzomezedopoleio,Review 133 Similarity,0.27050089,Review 90 Similarity,0
50,Very tasty food and looking same with the pictures very good servis and managment. For sure i will come again!,To Elliniko Ouzomezedopoleio,Review 210 Similarity,0.27050089,Review 91 Similarity,0
50,"I have been visited twice ""To Elliniko"" so far and I am really enthusiastic about the authentic Greek mezes that they have.... Warm atmosphere, excellent service and unique Greek dishes!! Highly recommend to anyone who wants to try tasty and good quality food.",To Elliniko Ouzomezedopoleio,Review 217 Similarity,0.27050089,Review 92 Similarity,0
40,Good Greek restaurant with choice of traditional Greek and Cypriot meals. Looks like a deli from outside but once inside service is quick and efficient. Food and drink is good value for money. Atmosphere is good and buzzing.,To Elliniko Ouzomezedopoleio,Review 246 Similarity,0.265143907,Review 94 Similarity,0
30,"We visited one Friday evening for dinner with friends. Although such restaurants are known for offering mezedes in their menu, this one didn’t. What a disappointment!!!! We spent considerable time deciphering the dishes from a menu packed with un-necessary info.The staff was friendly and fast, but the quality of food was average. Will not visit again.",To Elliniko Ouzomezedopoleio,Review 12 Similarity,0.260289603,Review 95 Similarity,0
30,"Very popular, very crowded and very noisy! Interesting decoration, very friendly and fast service despite crowds. Wide selection of Greek mezedes consisting of meat and fish dishes. Well presented, good size portions and very reasonable prices. However taste-wise the dishes we tried were very average...not the real Greek thing but a good imitation. Lacked that special touch that could have made our dining experience memorable.Desserts too were below average. The low prices seem however to be the main incentive that keeps this taverna full.",To Elliniko Ouzomezedopoleio,Review 213 Similarity,0.257673561,Review 96 Similarity,0
50,Excellent service and great atmosphere! Very nice food and drinks. Recommend for families and couples!,To Elliniko Ouzomezedopoleio,Review 94 Similarity,0.255030685,Review 97 Similarity,0
50,Exvellent service in a nice atmosphere and quite an interesting menu with wide choices. Very interesting mix of authentic dishes which were rasty and enjoyable. Sure recommended for a good night out,To Elliniko Ouzomezedopoleio,Review 193 Similarity,0.255030685,Review 98 Similarity,0
40,"ok I will be honest. It is not as good as the same restaurant in Glyfada (Athens) that I often visit... but, for Cyprus standards its very very good. Nice atmosphere, good food preparation. True Greek experiences from the islands, the north, pelloponisos, crete and Cyprus.",To Elliniko Ouzomezedopoleio,Review 174 Similarity,0.250435161,Review 99 Similarity,0
50,"The food is excellent, it has a lot of options for vegetarians. The Staff is very friendly and service quality is top!!! Atmopshere great!!!",To Elliniko Ouzomezedopoleio,Review 75 Similarity,0.236112534,Review 102 Similarity,0
50,Excellent service. Good quality food. Pleasant environment. Convenient parking inside the Hilton. Classic Greek dishes originally cooked.,To Elliniko Ouzomezedopoleio,Review 137 Similarity,0.236112534,Review 103 Similarity,0
50,Lovely Greek Food and service. i was impressed by their lovely Greek dishes and desserts alike. will definitely go again!,To Elliniko Ouzomezedopoleio,Review 196 Similarity,0.236112534,Review 104 Similarity,0
50,"Had a great night at Elliniko! We had a meal with family and friends. Started with excellent mezzes (one of the best tzatzikis I ever had), which were followed up by the meats. The lamb and the chicken were really good. Excellent atmosphere and great service. Definitely a recommendation!",To Elliniko Ouzomezedopoleio,Review 170 Similarity,0.235440805,Review 105 Similarity,0
40,"Very good service, polite staff. However, not any choices as side dishes for your main course that are not charged extra which is very inconvenient. For example, you can not change the potatoes in a dish with rice or with something else. You have to buy it extra. Also, they could offer a treat on the house at the end of dinner such as fruits, a sweet or something. Does not cost anything guys!",To Elliniko Ouzomezedopoleio,Review 189 Similarity,0.234260643,Review 107 Similarity,0
40,"Been there twice so far. Loved the dips in the appetizers section, especially the Fava and the Melintzanosalata which are unique and different from what you will find elsewhere and honestly the Kolokithokefte was the best i have ever had! I had fish for a main and the waitress recmmended the grilled Sardela which is one of their most popular dishes and i believe it was totally worth it. I also tried the Kritharotto with seafood on the other occassion i visited, which was good overall, although i believe it would have been better if it was combined with tomato sauce. Definetely worth revisiting, especially if you are looking for traditional and unique Greek food you won't normally find at a regular taverna.",To Elliniko Ouzomezedopoleio,Review 226 Similarity,0.234260643,Review 108 Similarity,0
50,Best quality food. There is a variety of dishes to choose from and enjoy the traditional Greek cuisine. Totally recommended!,To Elliniko Ouzomezedopoleio,Review 233 Similarity,0.234260643,Review 109 Similarity,0
20,Big portions.nothing to do with meze.dishes should be smaller so that customers can taste more.the orzo tasted only ouzo seafood was completely uncooked.sardines overcooked and tasteless.salad and tarama were good.this is not the mezedopolio concept as in greece.sorry .,To Elliniko Ouzomezedopoleio,Review 1 Similarity,0.220863052,Review 110 Similarity,0
30,Food was ok and service was ok if a little disinterested. Portions are large. Right next to a Hilton hotel so convenient if staying there. Parking tricky. Doubt we will be returning.,To Elliniko Ouzomezedopoleio,Review 21 Similarity,0.220863052,Review 111 Similarity,0
40,"Very good food. Selection of salads, hot and cold appetisers and different meat dishes. Friendly service and very good value.",To Elliniko Ouzomezedopoleio,Review 50 Similarity,0.220863052,Review 112 Similarity,0
40,"It was a must Greek dishes cuisine.Selections of fish ,meat cook and serve the Greek Orthodox way.Big variety of Salads and big choices of delicious small dishes.",To Elliniko Ouzomezedopoleio,Review 156 Similarity,0.220863052,Review 113 Similarity,0
40,"The food was tasty and came on time. The ambience was good and the staff was very helpful. The only negative is that the ventilation was not good enough and when we left, our clothes smelled like food.",To Elliniko Ouzomezedopoleio,Review 30 Similarity,0.197545919,Review 120 Similarity,0
20,People are trying to pass it as traditional greek ouzeri but all they do are serving low quality fried dishes. Sometimes i wonder if the chef is tasting the food. The atmosphere is nice though despite the heavy smell pf burned oil.,To Elliniko Ouzomezedopoleio,Review 34 Similarity,0.191273014,Review 121 Similarity,0
50,Excellent food and fast service. Very polite waiters and very professional! I have been a regular customer for 2 years and the food is getting better and better! Keep it up!!,To Elliniko Ouzomezedopoleio,Review 121 Similarity,0.191273014,Review 122 Similarity,0
50,"To Elliniko has come to join other contemporary Greek cuisine inspired restaurants in Nicosia like Pantopolio and Souxou Mouxou. Yet its rather more casual atmosphere makes it not so much of a rival as a welcome addition, occupying its own niche. And in spite of it being part of a franchise, Ellinikon has enough character and style to make it just right for a business lunch as well as a family lunch, dinner with friends or a romantic dinner. The crowd (and it is crowded) is mostly young and well healed.While they make a point of informing one that one serves the wine/drinks oneself, service is friendly, efficient and very polite without it being intrusive.The menu is quite extensive with sections for cold starters, salads, hot starters, fish and meat grills and pot/oven cooked main courses. The food on offer is generally traditional dishes with a contemporary/imaginative flair.A tomato and green chilli dip comes with the complimentary slices of crusty country bred.The Village Salad is crispy, properly dressed and comes with very large slices of excellent fetta cheese (creamy and fresh, not the variety that curdles your stomach). Our starters were delicious - cheese baked in filo pastry and drizzled with honey, fried courgette balls (kolokithokeftedakia) oozing with Greek aromas and fresh mint, served with a yoghurt dip.We were so full that we shared a main of grilled calamari. The calamari was perfectly barbecued on wooden skewers (tender and juicy), lightly drizzled in olive oil and lemon and served on a bed of salad.I tried two deserts. Kazan Dipi or burnt cream (no Creme Brule, this) and a cinnamon dusted, cream cheese covered, syrup soaked sponge were good but betrayed the franchise nature of the establishment.All washed down with an averagely priced Greek red (Paranga) the meal came to €30 per person, a generous tip included.",To Elliniko Ouzomezedopoleio,Review 245 Similarity,0.189388505,Review 125 Similarity,0
40,Traditional Greek food with a twist. The service is excellent and always trying to please the customer. It is possibly one of the best places for traditional Greek food in town. Prices are not high but there is space of improvement.,To Elliniko Ouzomezedopoleio,Review 222 Similarity,0.188352644,Review 126 Similarity,0
50,"Lunch for 2 people (starter, main dishes, coffee) with excellent quality at a very reasonable price of 27 EUR. Ask for the special lunch card.",To Elliniko Ouzomezedopoleio,Review 26 Similarity,0.180333927,Review 130 Similarity,0
40,"Visited on a Sunday for lunch with friends, we ordered four different main courses, that were all delicious and good portions! We had also 2 small side dishes and a salad! Only the portion of the salad was small! In general everything were excellent!!",To Elliniko Ouzomezedopoleio,Review 39 Similarity,0.180333927,Review 131 Similarity,0
50,"Excelent service, top quality food, and overall an amazing experience!Highly recommended for casual or business eating!",To Elliniko Ouzomezedopoleio,Review 67 Similarity,0.180333927,Review 132 Similarity,0
40,The food was mediocre to good. The oil in the salad was tangled and smelled awful and the “yiaourtlou kebab” had a strange and unpleasant smell. Potato chips and chicken kebab were super. Desserts were delicious and service was OK.,To Elliniko Ouzomezedopoleio,Review 119 Similarity,0.180333927,Review 133 Similarity,0
50,A different view of Greek cuisine with dishes not found easy elsewhere. It was a nice surprise visited with family,To Elliniko Ouzomezedopoleio,Review 123 Similarity,0.180333927,Review 134 Similarity,0
50,As usual the food from the starters to the main and the desert reminds us the real Greek food with emphasis to Crete island. The food was very good and the service perfect.,To Elliniko Ouzomezedopoleio,Review 128 Similarity,0.180333927,Review 135 Similarity,0
50,"I always like to eat the food of the country I’m in so headed straight for Elliniko. The food is excellent, but beware, the portions are huge. I have had dinner there 2 nights running and have really enjoyed everything. I recommend a glass of ouzo to finish off. The service is nice too.",To Elliniko Ouzomezedopoleio,Review 97 Similarity,0.177084401,Review 137 Similarity,0
40,"Staying at the hotel next door on business and for a few cold days, we had no incentive to go anywhere else. Everything we tried was good, and even on a busy night when they were fully booked later on they fitted us in. The atmosphere of a Cypriot taverna with no frills, really good food (fish or meat), generous portions, pleasant English-speaking service and reasonable prices.",To Elliniko Ouzomezedopoleio,Review 8 Similarity,0.165647289,Review 140 Similarity,0
50,"You will not be let down ... if you are after very good service and consistently good food. It's not off the charts by Michelin standards (unlike say Pyragmena which by Cypriot standards is unique) - but I've never having now gone many times been disappointed, and the food has a certain high consistency. If I had an important business lunch in Nicosia other than Skinny Fox and Pyxida, it's where I most obviously would head to just for its very good service and food quality which never disappoints.",To Elliniko Ouzomezedopoleio,Review 43 Similarity,0.162822402,Review 142 Similarity,0
50,"Have visited on many occasions. These guys maintain a good quality consistency (the number one criterion for great restaurants and the one at which most fail). Mouth-watering Greek tastes, fava beans, black eye beans with dill, pastourmali, a variety of Greek cheeses,agiorgitiki tigania, oven baked sardines and many more.... If you like authentic Greek tastes, this is a great choice, possibly one of the best you can get in Cyprus.",To Elliniko Ouzomezedopoleio,Review 127 Similarity,0.161295568,Review 144 Similarity,0
50,The food was very nice and the service very good. The staff was friendly and the food was served on time.,To Elliniko Ouzomezedopoleio,Review 36 Similarity,0.156173762,Review 145 Similarity,0
20,"It wasn't what it was expected to be; thoroughly underwhelmed expectations. Food was neither the best in its category, nor the cheapest, nor memorable, nor worth it. I guess what I'm trying to say is it's ok if you're there and you're getting something fast for the road but I wouldn't plan a night out there.",To Elliniko Ouzomezedopoleio,Review 98 Similarity,0.156173762,Review 146 Similarity,0
20,"Just a food, some of it was too salty, some overcooked, some tasteless. We took Armenian pastourma (too salty and the garnish didn’t compensate its saltiness), grilled octopus (which was dry and chewy like a rubber) and sardines (tasteless and dry). Never go again and do not recommend anyone at least if you are not starving or have no choice.",To Elliniko Ouzomezedopoleio,Review 99 Similarity,0.156173762,Review 147 Similarity,0
40,"A lot of items on the menu, took me time to decide but the salad had a delicious flavor and the kebabs were juicy. Recommended.",To Elliniko Ouzomezedopoleio,Review 175 Similarity,0.156173762,Review 148 Similarity,0
50,We had dinner in this restaurants with friends and our teenager kids and was really good food in a family friendly environment at very reasonable prices.,To Elliniko Ouzomezedopoleio,Review 180 Similarity,0.156173762,Review 149 Similarity,0
40,"Close to the Hilton, furniture and facilities are very nice, the food are fresh and lovely, kitchen and food are displayed. Best places for family or friends group. To be suggesting...",To Elliniko Ouzomezedopoleio,Review 144 Similarity,0.139686059,Review 156 Similarity,0
50,Excellent food . The staff was very friendly and the food was very fresh. The music was pleasant. Looking forward to comeback.,To Elliniko Ouzomezedopoleio,Review 25 Similarity,0.118056267,Review 163 Similarity,0
50,The food is very good and the service is excellent. It is very good for a casual or a business meal.,To Elliniko Ouzomezedopoleio,Review 118 Similarity,0.118056267,Review 164 Similarity,0
50,Visited it with a friend. Nice environment. Polite staff. Food is really good. Tried many traditional greek food. You can also buy cheese and other greek traditional food.,To Elliniko Ouzomezedopoleio,Review 185 Similarity,0.117130321,Review 165 Similarity,0
40,"Supper the first day, lunch on the third day;We had supper here the first night we are in Nicosia on business and lunch on the last day before heading to the airportGreek Meze!Salad, different of fish in small portions, chicken, lamb, dips, fried cheese etc.What can i say!I can go on and on.Good food at reasonable price.I will be back:-)",To Elliniko Ouzomezedopoleio,Review 151 Similarity,0.110431526,Review 167 Similarity,0
50,"In general the quality of dining in Cyprus is not of the highest standards. In 3,5 years there have been very few venues that have pleasantly surprised me with their menu, style, ingredients and taste. To Elliniko is by far one of the best experiences I've had on the island. It is recommended for everyone.Please, order fish and you'll know what I mean.",To Elliniko Ouzomezedopoleio,Review 218 Similarity,0.110431526,Review 168 Similarity,0
40,"Excellent food but a few setbacks. Waiters in a hurry to serve , as a result no time left between starters and main dish, like they wanted us to eat as fast as possible and get out of there. ThEy should be mor3 careful with their timing. Food quality was excellent and highly recommended. On a busy night it can be crowded and noisy",To Elliniko Ouzomezedopoleio,Review 31 Similarity,0.104115841,Review 169 Similarity,0
50,The food was perfect and the portion are huge and is value for money. The staff are very friendly and professional,To Elliniko Ouzomezedopoleio,Review 38 Similarity,0.090166963,Review 170 Similarity,0
40,"Went here for a business dinner. Service good, setting casual and food was quite good. The mezedes were fresh and well done and the mains were delicious. Perhaps not very Cypriot but certainly quite Greek. Good ouzo selection.",To Elliniko Ouzomezedopoleio,Review 46 Similarity,0.090166963,Review 171 Similarity,0
40,some foods were excellent but some others seemed they were not freshly made . generally it was ok.the service was very good.,To Elliniko Ouzomezedopoleio,Review 47 Similarity,0.090166963,Review 172 Similarity,0
50,"Excellent presentation of menus., plates and quick professional service... Professional personnel. Relaxing atmosphere. It was an unforgettable time.",To Elliniko Ouzomezedopoleio,Review 72 Similarity,0.090166963,Review 173 Similarity,0
50,Lovely atmosphere with very good service and delicious plates and desserts!!!! Highly recommended!!!!!,To Elliniko Ouzomezedopoleio,Review 108 Similarity,0.090166963,Review 174 Similarity,0
50,"A must for every visitor in town and for local too. I had a business obligation 2 days ago and all 25 colleagues from all over Europe were excited! Each time I visit is better than last time! Congrats to all, management and staff. Delicious plates, excellent service, best choice ala- ellinika in town.",To Elliniko Ouzomezedopoleio,Review 165 Similarity,0.090166963,Review 175 Similarity,0
50,A very good Greek style food that is serving fresh authentic tastes. I would be happy to come back very soon.,To Elliniko Ouzomezedopoleio,Review 209 Similarity,0.090166963,Review 176 Similarity,0
30,Although the decoration and the atmosphere is nice i got disappointed by the food. i have ordered the melomeno pork fillet which was overcooked and dry.,To Elliniko Ouzomezedopoleio,Review 228 Similarity,0.090166963,Review 178 Similarity,0
50,Helpful staff and excellent traditional food...traditional decoration.. Not expensive value for money.!! However you have to reserve a table before because is very busy,To Elliniko Ouzomezedopoleio,Review 236 Similarity,0.090166963,Review 179 Similarity,0
40,"Food is good, service is ok, atmosphere is good as well, price vs value is not good. A little commercial products quality. Local tavernas are much better in terms of value for money.",To Elliniko Ouzomezedopoleio,Review 203 Similarity,0.086629616,Review 181 Similarity,0
50,"Amazing Greek cuisine, top taste and quality, excellent service. Highly recommend the grilled chicken and staffed eggplant!",To Elliniko Ouzomezedopoleio,Review 62 Similarity,0.078086881,Review 185 Similarity,0
