r_points,r_text,place,
50,"Excellent stay for 3rd time at Altius Boutique Hotel. Good location, helpful staff and caring even they encouraged me for my exams. Thank you Altius for your help and support. I will see you very soon.Maria",Altius Boutique Hotel,Review 70 Similarity:  0.4330127018922194
40,"Great service from all at the hotel, especially as one of our friends was unwell, they helped with local hospitals/pharmacy's. Location was a bit out of the way but service superb and rooms quality. Thank you x",Altius Boutique Hotel,Review 71 Similarity:  0.35355339059327373
50,"the rooms were great, the personal was very friendly! It feels like I have made friends there. I will definetly come back and can fully recommend the altius!The hotel is also in walking distance to the old town centre ...",Altius Boutique Hotel,Review 72 Similarity:  0.1889822365046136
50,"Really nice rooms, spacious and air conditioned. Friendly, helpful staff - and they even speak Finnish! Best brandy sour of Cyprus I was told - and good it was! I recommend for business or holiday (I was doing a bit both) - for business there are spacious conference rooms with conference technology needed.",Altius Boutique Hotel,Review 73 Similarity:  0.0
50,"I really enjoyed my business stay at the Altius hotel.The conference room was perfectly equiped with everything needed for a 3-day workshop. Nice food, friendly and helfpul staff, very fine rooms (mine was with balcony). Highly recommended!",Altius Boutique Hotel,Review 74 Similarity:  0.4743416490252569
50,"Very good hotel, the personnel was very kind and helpful. The category of he hotel is not so expensive, but the quality of the service was above the price.I recommend it for business or private trip.",Altius Boutique Hotel,Review 75 Similarity:  0.16666666666666666
50,"This hotel is a 15 min walk to the old city. It is located on a main boulevard towards the old city and has a small parking.We were a bit early, but the friendly staff took care of us in the modern lounge.The hotel is quite modern and has the typical business hotel atmosphere. The rooms were clean, quite and dark. The bathroom is perfect, the wifi signal varies. Breakfast was good, although not superb. It consists out of a typical cypriotic buffet.The price/quality is very fair to my opinion. A good option for tourists if you don't mind a short stroll!",Altius Boutique Hotel,Review 76 Similarity:  0.0
40,Friendly and helpfull StaffThe rooms are clean and large enoughBreakfast could have been improved by offering a bigger selection.Walking distance from city centreAir-conditioning in the room was very welcome.,Altius Boutique Hotel,Review 77 Similarity:  0.22360679774997896
50,"One of the best services I have ever received. Hotel staff is very accommodating and friendly. Great value for room, very clean and wonderful breakfast included! Thank you very much for a peaceful stay!",Altius Boutique Hotel,Review 78 Similarity:  0.35355339059327373
50,the hotel even though is in the city it is located in a quiet neighborhood. We had. A really good nigh sleep. Clean but in my opinion the staff should be more trained and the uniform should be more smart.,Altius Boutique Hotel,Review 79 Similarity:  0.0
30,"Hotel Altius Nicosia 9/1:Our 2nd stop & 3rd night on a 12-day road trip covering both parts of the island had us in Nicosia. Expectations were not high, but we opted to try the Altius because of favorable reviews. We were disappointed just the same. Up side: attentive staff, very eager to help; no charge parking; fairly clean room; decent breakfast included; 5-minute drive to old walled city. Down side: overall tired look somewhat emblematic of Nicosia itself; musty hospital-smell of Clorox probably in an effort to cover up cigarette smoke permeation; internet access poor & intermittent; bed pillows & blanket lumpy, stiff & uncomfortable; away from 'action'. Opted to cut our stay & move-on. Though untested, the Centrum Hotel in Old Town would have been a comparable & much more enjoyable choice. The 'Innocent' Wine Bar (Maria), and 'thegymconcept.' The Gym restaurant (Vasilius) were very good choices in the pedestrian area. [Now at the Rocks Hotel & Casino in Girne (Kyrenia), North Cyprus; a no-miss excellent 5-star facility.]",Altius Boutique Hotel,Review 80 Similarity:  0.3380617018914066
30,"So I'm told that this place was recently renovated, but it appears it is still undergoing some work. I moved a total of three times as a result of the air conditioning failing in two rooms, and one room being without hot water for 24 hours. The entire third floor smelled like an airport smoking room despite all rooms apparently being designated non-smoking (the smell even wafts in through the room's air-con vents so there is no escape even in the room) and there were no kitchen staff available to provide lunch at 12:30pm on a Friday. Most of the reception staff are very friendly and helpful and want to make you happy when you bring these things to their attention, but unfortunately the only solution is to make you move to another room. Also you may still get door knocks from some staff when you display the 'do not disturb' sign. Good location and relatively cheap compared to similar hotels in the area, but overall not worth the two or three hundred euros I saved by not staying elsewhere.",Altius Boutique Hotel,Review 81 Similarity:  0.38575837490522974
50,"everyone was helping with anything I asked. WiFi available, quiet place and peaceful. nice terrace outdoor with a breeze. modification on booking dates or times was no hustle. reception personnel very polite and great help.",Altius Boutique Hotel,Review 82 Similarity:  0.0
50,My two friends and I stopped over night in Nicosia on our way to Paphos and wish we could have stayed longer!! The Altius boutique Hotel was amazing! We arrived late at night and were greeted by complimentary wine and the friendliest of staff!! Our rooms were great and the complimentary breakfast in the morning was delicious! Will definitely be back!,Altius Boutique Hotel,Review 83 Similarity:  0.14433756729740646
40,"Staff at reception was very helpful and always smiling especially Aneliya she was very welcoming and her smile is always on, we had smelly room when we arrived but she acted fast and made a free upgrade to a suite and was really quick.............",Altius Boutique Hotel,Review 84 Similarity:  0.2886751345948129
50,The stuff was very friendly (even gave me a free water bottle on arrival) and the room very clean. It seems to have been recently renovated and I loved the design. Also it's very close to the centre and has convenient public transport nearby.,Altius Boutique Hotel,Review 85 Similarity:  0.2886751345948129
50,"The staff are incredibly helpful and generous. I arrived at 7:00 am after travelling through the night, intending to confirm my reservation later that day and use the wifi/charge my phone. The gentleman at the front desk not only let me check in at 7:30am (normal check in time is listed as 2:00pm) but also offered me a cappuccino and free breakfast buffet while they got the room together. Even without the early check in and additional free breakfast, it would have been an excellent deal. Very close to the close to the old city and very clean room. The only thing that could conceivably have improved my experience, would be slightly softer pillows. I can't imagine a better hotel in a similar price range. I will definitely be staying here next time I'm in Cyprus.",Altius Boutique Hotel,Review 86 Similarity:  0.2182178902359924
50,"Very nice hotel. Nice environment, friendly staff, nice service. Free WiFi. Congratulations to chef the breakfast was amazing. Excellent room. It's a modern hotel that makes you feel enthusiastic from the time you get into it. Very clean room with all the facilities. I' very happy I will come again.",Altius Boutique Hotel,Review 87 Similarity:  0.30000000000000004
50,"Very nice hotel with comfortable rooms and very helpful staff. Hotel is situated near to centre of the city. Reception is nonstop available for visitors, parking in front of the hotel is free. Good restaurants and clubs are in reachable destination. I will use this hotel again.",Altius Boutique Hotel,Review 88 Similarity:  0.0
50,"Very clean,very friendly and helpful staff,room was perfect.Nice location.The staff were very nice,free wifi,fruit on arrival in the room,plus a kettle, tea and coffee and water.when we arrived they even offered us champagne or anything else we wanted to drink,only stayed one night but i would go again.",Altius Boutique Hotel,Review 89 Similarity:  0.22941573387056174
50,"I was quite satisfied with the quality of the rooms; the lobby decor, the breakfast (usually included), cleanliness, and the location (few minutes ride to center of city or about 20-25 minutes on foot). I especially was impressed with the staff; who not only made every effort to make me comfortable they were also pleasant (and spoke English very well - tolerating my broken Greek too boot).",Altius Boutique Hotel,Review 90 Similarity:  0.0
40,"Spent 3 nights at the Altius Boutique Hotel in Nicosia between the 13th and the 15th of July for work purposes and was placed at this hotel due to the close proximity of the office to visit.Situated in a quiet area, about 20 minutes walk from the Old Town and major shopping area.The hotel is modern and with all amenities. The room has a modern decor and has coffee-making facilities. TV transmits mostly Cypriot and Greek channels but there are a couple of English-speaking channels too. This could be improved upon by say, adding a couple of Italian channels to add choice. My balcony was overlooking a main road but no particular noises could be heard. WIFI is free throughout the hotel but admittedly, not very strong.Breakfast was discreet, with a combination of continental and English breakfast, even though there were no sausages and baked beans. Just eggs (fried, scrambled and hard-boiled) and bacon.The hotel also has its own restaurant and bar but I did not have the opportunity to try them out.The staff is very cordial and helpful. They always had a smile on their face and were very polite throughout.All in all, the hotel served its purpose and I would find no difficulty whatsoever to visit again.",Altius Boutique Hotel,Review 91 Similarity:  0.14433756729740646
30,"We stayed only for one night!The hotel is renovated with modern decoration in the lobby, in the restaurant and bar! The room was clean and neat but there was a heavy smell of tabacco insight the room and a full of cigarettes ashtray on the balcony, the double bed was quite small but it was comfortable. The advantage is the free wifi in the rooms. The breakfast was not rich but it was enough to choose between an english breakfast and a healthy breakfast. A good, choice to stay for a couple of nights in Nicosia.",Altius Boutique Hotel,Review 92 Similarity:  0.3127716210856122
50,"We stayed at Altius Boutique Hotel for our wedding night and we really wanted to share our wonderful experience though this review. The suite was great, the service was amazing and the staff was outstandingly friendly, available and polite. We highly reccomend it for newly weds stay!",Altius Boutique Hotel,Review 93 Similarity:  0.5
40,"My daughter and I found the room was very clean. AC was working but we could not control from the room. The staff would turn it off at night. But when needed, they always turned it back on again. Busy hotel, but very quiet inside. Cabs were always arranged by the staff. Cab to airport was 11 euros per person, arranged by hotel staff. Breakfast was great. Restaurant food, however, could have been better. Menu did not have much selection. It was great that they had CNN news in the lobby. There is a pharmacy and a basic grocery store across from the hotel. Music was also very good-all English. Please add ABBA, Bee Gees, Eagles and Beatles to your playlist!",Altius Boutique Hotel,Review 94 Similarity:  0.1796053020267749
50,"my wife and i stayed at Altius for almost 2 months, besides from being a great value-for-money hotel, rooms were neat and very clean and the stuff was externally friendly and helpful. the hotel is located near some nice shopping streets in the ""new-city' as well as, a walking distance from the ""old-city"" which is probably the most lively area of Cyprus.",Altius Boutique Hotel,Review 95 Similarity:  0.12126781251816648
40,"Friendliness and availability of the staff will be remembered as example for every hotel. I even felt very protected when I got a call during the night with the question if everything was OK because they got (after all) a (false) signal of the smoke alarm in my room. Big room and smaller bathroom, which could use some renewal here and there (box with tissues might be a tip). Decent breakfast and relax atmosphere. 20 minutes walk of the city center and it is getting used to few comfortable pedestrian facilities on that traject, but weather was always good to do the walk. Good price/quality.",Altius Boutique Hotel,Review 96 Similarity:  0.23570226039551587
50,"I came late at night and the receptionist was really helpful and friendly.Leaving in the morning,another receptionist was as well friendly.I stayed literally few hours but my stay was amazing.Rooms are clean,staff friendly the whole vibe was really good.",Altius Boutique Hotel,Review 97 Similarity:  0.12126781251816648
50,"I´ve been at Altius Boutique Hotel, Nicosia in May 2015.I had pleasant time there, got much help from reception desk.So - friendly staff, excellent food, good location and nice rooms.Keep up good service :)",Altius Boutique Hotel,Review 98 Similarity:  0.25
50,"Great location near old downtown and great restaurants. Near park and pool. Centrally located in a residential neighborhood so it is nice and quiet not in the commercial district, but close to everything.",Altius Boutique Hotel,Review 99 Similarity:  0.0
40,"I stayed here twice on separate business trips and I didn't hesitate to go back based on the wonderful service! Rooms are simple but comfortable, the breakfast buffet is more than reasonable, free wifi, a short walk into the old city, but it was the front of house staff that made it all worthwhile. Welcoming, friendly, helpful and informative. Thanks!",Altius Boutique Hotel,Review 100 Similarity:  0.1386750490563073
50,"This is a very lovely, friendly hotel. The rooms are modern, clean and well equipped. The staff is very friendly and helpful. Breakfasts were excellent with a good selection of items. The location is very convenient. A short walk to the old city, but in a quiet neighborhood. While there are so many places to eat in Nicosia, if you choose to stay in, the food here was quite good. Excellent meeting facilities. And did I say the staff was excellent? They make the place special.",Altius Boutique Hotel,Review 101 Similarity:  0.08838834764831843
50,"The hotel was great for my short stay- close enough to the city centre with very friendly, welcoming staff.Clean comfortable rooms and wifi included- well equipped with air-con and a small balcony to enjoy the sunshine!",Altius Boutique Hotel,Review 102 Similarity:  0.15811388300841897
50,"I was a study abroad student studying in Nicosia, Cyprus from America and we stayed at this hotel. The staff were wonderful, and the service was very nice. I recommend this hotel to any and everyone//",Altius Boutique Hotel,Review 103 Similarity:  0.15811388300841897
50,It is an excellent hotel with lovely and very welcoming staff and their services are very good and it's in the heart of Nicosia within a walking distance from everything you want. Ot was a lovely weekend and when i come again to Nicosia I'm definitely staying here,Altius Boutique Hotel,Review 104 Similarity:  0.0
50,"As my office was nearby I have stayed at the Altius for nearly two months while on assignment in Nicosia so I can say i really know the place.When I first came to Nicosia I was going to get an apartment but the hotel staff and the hotel is so nice I decided to just stay here and I am glad I did.The rooms are modern and super clean and have all the facilities you need. If there is ever a problem with your room or stay the staff deal with it straight away.What makes this hotel are the staff. They are all very friendly and helpful. I can honestly say that in my nearly two months here it has been like that.The other good thing about the hotel is that while it is walking distance to the Old City it is not IN the old city which can be noisy at night. Here there is no noise at all at night but if you want to go into the old city, where there are lots of bars and places to eat, it is only a 10 minute walk.The Cyprus Museum and many Government Ministries are within walking distance.The breakfast is very fresh and there is a good selection. Down the road is a great bakery and hot food take away shop called Pandora and in the immediate neighborhood there are convenience stores, a laundry and a pharmacy.Not sure when I will back in Nicosia again but next time I'l definitely stay at the Altius Hotel again.",Altius Boutique Hotel,Review 105 Similarity:  0.309426373877638
50,"a weekend in Nicosia for business. The hotel location is very good, the services excellent and the personnel very polite. The hotel is recently renovated, very beautiful interiors, and rooms with wide spaces",Altius Boutique Hotel,Review 106 Similarity:  0.0
50,"Although it is quite close to the city centre, you would not want to leave the cosy comfortable rooms of the hotel with deliciously made morning crepes served by delightfully welcoming staff. Excellent !",Altius Boutique Hotel,Review 107 Similarity:  0.0
50,Altius hotel was great! It's a quiet place with a relaxing atmosphere. The rooms are comfortable and clean. The staff were really friendly and helpful. And also there's a nice restaurant in the hotel.,Altius Boutique Hotel,Review 108 Similarity:  0.1386750490563073
40,Affordable place to stay in with lovely walks into Old town. Staff at the hotel were very hospitable and especially helpful in providing useful hints and tips on getting around the island. I have already recommended it to friends!,Altius Boutique Hotel,Review 109 Similarity:  0.22360679774997896
50,"The Altius Hotel was fantastic, the people there are truly kind and helpful in anything you need. The room is huge and spacious with nice large windows to see the view. Great lobby area and breakfast in the mornings. Not too far from all the Nicosia attractions either, overall an excellent experience if coming to Cyprus. Certainly a true at home feeling even as an American!!!",Altius Boutique Hotel,Review 110 Similarity:  0.3333333333333333
50,"If you want to feel yourself VIP person, welcome to Altius hotel. The most friendly and nice staff, delicious food, large and very comfortable and clean rooms with big beds and mirrors, and also it is near from city centre and bus stop.",Altius Boutique Hotel,Review 111 Similarity:  0.15811388300841897
50,"This hotel was excellent, the staff were very helpful and friendly and the rooms were clean and comfortable. The service was quick and efficient. I would highly recommend this hotel to all family friends and acquaintances.",Altius Boutique Hotel,Review 112 Similarity:  0.1386750490563073
50,"very good food, nice accommodation, the stuff was very friendly, excellent service, clean, nice conference rooms and just ten minutes by walk to the city center. i would definitely visit that hotel again!",Altius Boutique Hotel,Review 113 Similarity:  0.1336306209562122
50,"This is hotel with great accommodation and great staff. I spent 7 days which was full of fun. This hotel is near from city center, you need maximum 7-8 minutes to walk. There is very good sights from rooms.",Altius Boutique Hotel,Review 114 Similarity:  0.0
40,"I enjoyed the stay, They immediately served a welcome drink, allowed a late checkout, Personnel was very pleasant. Excellent bed, not too soft, not too hard. Stay was not expensive at all. It was together with the dinner a night to be remembered.",Altius Boutique Hotel,Review 115 Similarity:  0.4082482904638631
50,"The friendliest stuff in Altius will keep you in good mood always. I stayed there for 7 days and enjoyed in every meal (3 times a day). Rooms are very clean. Lobby is very cosy for chilling out. You will hardly have Internet connection problem. The hotel is just 5 minutes walk from center of Nicosia. If you ever stay in Altius Boutique ask the manager of hotel to tell you the funny stories he knows, worth to listen.Stay in Altius, stay happy :)",Altius Boutique Hotel,Review 116 Similarity:  0.5669467095138409
50,By far the best thing in this hotel were people working in it. I had great time in Altius and I'm sure I will be back there again. Rooms are clean and beautiful and the food is amazing. Thank you for a very comfortable stay.,Altius Boutique Hotel,Review 117 Similarity:  0.3333333333333333
50,"Excellent staff!! Excellent hotel <3 i liked it very much :* everything was excellent, clearnes, food, staff, place, weather 💕💕 I spent the time I never forget :)) thanks for everything I hope i will come back soon <3",Altius Boutique Hotel,Review 118 Similarity:  0.0
50,"I visited this hotel in April 2015. Great boutique hotel with high educated and hospitable personnel, always willing to help you and offer you cold orange juice. Very comfortable bed with clean bathroom - housekeeping stuff clean rooms every day.Tasty food combined with traditional salads and deserts make your stay even more sweeter.Highly recommend to all kind of travellers!",Altius Boutique Hotel,Review 119 Similarity:  0.1336306209562122
40,"Very clean.Excellent and abundant breakfast. Facilities in the room in very good working condition; including the availability of internet. Internet had very good reception at all times of the day. Since I was on a business trip, this was essential for me.What impressed me mainly was the great and warm hospitality by the employees: at the reception, dining room, cleaners....Thank you for a very comfortable stay.",Altius Boutique Hotel,Review 120 Similarity:  0.38729833462074165
50,"I stayed one week in Altius Boutique in April 2015.The rooms are great, beds are comfortable and toilet is very clean. I was having almost all meals in the hotel and they were very tastefull. Still, by far the best thing in this hotel were people working in it.I had great time in Altius and I'm sure I will be back there again.",Altius Boutique Hotel,Review 121 Similarity:  0.24253562503633297
50,Lovely hotel with very kind and professional stuff.Rooms are clean and beautiful and the food is amazing. They made my first visit and stay in Cyprus one of my best experiences ever. Strongly recommend :),Altius Boutique Hotel,Review 122 Similarity:  0.20412414523193154
50,"It was the first time we organized a European Youth Project in Altius Boutique Hotel and the experience we had was amazing. Our guests (Cyprus, Romania, Croatia, Ukraine, Georgia) was so exited with the hospitality of the Manager Mr. Theo Charalampous. The staff was very friendly and professional. The rooms was very comfortable and the food was fantastic!! The conference room has all the facilities we need and we didn't faced any problem. The interior designer make fantastic job and the decorations are amazing.",Altius Boutique Hotel,Review 123 Similarity:  0.3333333333333333
50,"excellent place!!!, friendly and professionals staff, very clean! They take care and prepare delicious food during our stay. ..perfect place to relax .. but also close to the center.Very friendly and kind owner. Thanks for making our stay so comfortable!",Altius Boutique Hotel,Review 124 Similarity:  0.2773500981126146
50,"This is a sweet hotel in one of the out-of-the-way streets of Nicosia with outstanding customer service.Greeted with smiles and offers of hot and cold drinks, the hotel receptionist was very helpful in answering our questions about the local area. Thank you very much.The room was fine with tea making facilities, a full en-suite, a balcony and air-conditioning/heating. Wifi was free and despite a busy road running behind the hotel, the room was surprisingly quiet with the balcony door closed.The bar was open and the restaurant was adequate especially for breakfast but we'd highly recommend Ledra Street (less than five euros by cab) which the receptionist can arrange. You could happily spend hours trawling the shops and eating at any of a huge choice of eateries.",Altius Boutique Hotel,Review 125 Similarity:  0.3441236008058426
50,"I have stayed at some of the best five star hotels in Europe and Asia, however this small hotel could teach them all about service.Intended to stay just for 3 nights during a conference and then move on to the Hilton. So glad I did not.Front of house staff where amazing. The rooms are confortable, the food above and beyond the hotel's rating.",Altius Boutique Hotel,Review 126 Similarity:  0.31622776601683794
50,"I am visiting Nicosia very often for business purpose; this is my first time to stay at Altius Boutique hotelThe staff is very friendly and very professional Very good breakfast, no charge for late checkout.Highly recommended!Definitely I will come again.Arie",Altius Boutique Hotel,Review 127 Similarity:  0.3333333333333333
50,"A very pleasant 3-night stay at the Altius Boutique Hotel in Nicosia - comfortable bed, clean room, all amenities including free WiFi everywhere in the hotel. Just a 15 minute walk to the Paphos Gate and entry to the walled part of the city. The staff at this hotel are exceptionally polite and accommodating and deserving of the highest praise - excellent service.",Altius Boutique Hotel,Review 128 Similarity:  0.42640143271122083
40,Excellent value for money. The staff is helpful and kind.Would recommend for short stays especially.The breakfast was included in the price of the room and was very generous.The bathroom is not renovated.,Altius Boutique Hotel,Review 129 Similarity:  0.20412414523193154
40,"Very friendly, supportive and responsive staff. Not being able to come on the predetermined dates, confirmed via www.booking.com, and not having cancelled the reservation on time, the possibility of postponing the visit for a week was offered by the hotel free of charge. It was greatly appreciated by myself and the company, I come to work for when travelling from abroad.The hotel is relatively new, offering the new and pleasant equipment, ensuring the great all-night-sleep for the busy working business people.I've chosen this hotel many times during my last trips and will choose it in the future depending on the room availability.",Altius Boutique Hotel,Review 130 Similarity:  0.125
40,"Very professional staff. Relaxing and very comfortable hotel. Location is good, rooms are spacious and clean. We booked two rooms for 1 week in late December 2014. Because of unexpected event we had to check out early and the hotel and booking.com have refund almost 50% of the sum amount which was already paid. We will stay there again when we decide to get to Cyprus again.",Altius Boutique Hotel,Review 131 Similarity:  0.1336306209562122
50,It's a really calm and good place to stay at during your trip. The staff is so helpful and friendly. They serve good breakfast and the hotel's location is near the bus station which makes transportation easy,Altius Boutique Hotel,Review 132 Similarity:  0.15075567228888181
50,"Our family and friends' family decided to chose this hotel basically because of availability , but we were surprised about all that it could offer.The 4 days we spent in that hotel and in Cyprus were calm and soothing.Though the rooms are basic with nothing that spectacular about them, they were adequate enough for a stay and spacious for all the stuff we had with us.The breakfast was appealing enough to fill your plate more than once and the service was remarkably fast.All the staff , Raya , Oliver , Evelyne , Dimitria and others were friendly and made us feel that the hotel was truly our home.They helped us discover Nicosia and provided us with a map that served us well.A highly recommended hotel for those who look for a calm and relaxing vacation with a chance to connect with people of different backgrounds.A definite come-back-to hotel.",Altius Boutique Hotel,Review 133 Similarity:  0.17677669529663687
40,"The hotel is slightly away from Nicosia centre but we had a car and needed hotel with car park and this hotel was ideal for us. No restaurants in the area so you need to look elsewhere. on a busy road but this did not disturb us much.Rooms clean, Reception staff helpful in all our enquiries provided us map of Nicosia and explanations etc. The breakfast was surprising good in that it had hot and cold buffet style. Coffee and tea were served immediately. Staff efficient. The bed was comfy and i remarked as much to my partner. Slight concern was that there was no heating in the room during the day and room felt a bit cold, but heating was on in the night and we slept well. Oh and Free Wifi!!!!",Altius Boutique Hotel,Review 134 Similarity:  0.1889822365046136
50,"Whilst the rooms are basic, they are very clean and new. The bed is comfortable. There is no real bar in the hotel that stays open late, which is a shame. The breakfast is good, although not the variety you would se at other hotels.You may be asking why have i given 5 stars. Purely comes down to service. ALL the staff were fantastic and very polite and wanting to please. I booked for two nights but i had to leave after the first due to changing flights because of strikes in Greece. I called the hotel mid morning out of courtesy. When i checked out at 1600hrs I asked if i could have a refund for the night i would not stay. They kindly agreed. They did not have to but they did.It was only by chance i booked here as everywhere else was booked due to the Barcelona vs APOEL match. When i come back i will stay here.",Altius Boutique Hotel,Review 135 Similarity:  0.375
40,"why do i have to write at least 200 chracters?is it not optional?iwant to write and share my experience with other potentional travelers in my own way.think about that and change your policy.i am sure you will rceive more comments.thank you .there are no more ""red"" parts to answer.but, we had a wonderful time in the hotel, we celebrated two very important events in our life and the hotel had wonderful surprises for us! we would like to thank the staff and especially ANELIYA for her consideration.take care and all the best, jona&eli",Altius Boutique Hotel,Review 136 Similarity:  0.0
40,"The room was spacious and nicely designed.The stuff was attentive to help and assist in every matter I approached them.Comfortable location - 15 minutes from down town (by the archaeological museum).Very generous breakfast.Will come back once I am again in Nicosia on business tour.[The only drawback was unstable WiFi in my room due to technical problem, though I was easily offered a new room - which I refused.)",Altius Boutique Hotel,Review 137 Similarity:  0.3872983346207417
50,"Every staff member, from the servers at breakfast, to the housekeepers, to the front desk are friendly and helpful, professional and efficient - which adds greatly to the fine amenities of this hotel. The decor is appealing and modern (with lots of little things thought of, like ample plug-ins for electronics), the rooms are comfy and clean. The breakfast has good variety, and the staff are watchful for your cup of java or tea being almost empty, in order to bring you another. The hotel is a 15 to 20 minute walk to the Old City - which is the best of both world's being that area is quiet at night for a good night's sleep, yet easily accessible to the bustle of the Old City. We stayed 6 nights, and after a few days in Pafos and around - we will be back to this hotel for the remainder of our Cyprus visit.",Altius Boutique Hotel,Review 138 Similarity:  0.0
30,"Staff 5/5 - Friendly and very accommodating. Speak fluent English like most people in Cyprus.Bed 4/5 - soft and comfortable. Pillows are on the thin and hard side.Room 2/5 - spacious enough, no mini-bar to store stuff, clean, but not luxurious. There was a nail coming out of a bathroom tile - a potential danger. Poor noise isolation so you can hear neighbours. That said, they weren't a bother and I slept well, but it's potentially a problem. Despite booking.com stating I'd have a double bed, I ended up with a single bed, though it was big enough.Shower 3/5. Bathtub + shower (I prefer cabins). Weak water pressure, but plenty of hot water.Internet 2/5 - fast when it works, but drops every few minutes - very frustrating to use. If you rely on it, this is a potential deal-breaker.Food 3/5 - breakfast was simple but nice with good coffee. Very limited menu for evening food, but ordering out is easy.Location 4/5 - quite central, but city centre and old town are just out of walking distance. There's nothing within the immediate vicinity however. The area is quiet, and there's a mini-market right next door. Bus stop is close and taxis are affordable. Speak with hotel before arrival if you want help with airport transport - there's a cheap minibus which will take you there directly.Overall impressions:If you can get a good price, I'd recommend the place. I'd say it would be better value if they fixed the bathroom nail, water pressure and Internet (which should have been done as these aren't expensive investments). It would be a great place worth if they sorted the noise isolation, though that would be quite costly so I can't see that happening.It's far from perfect, but I had a pleasant stay and would stay again for the right price. If you want some place with a little more quality, The Classic Hotel is a better option.",Altius Boutique Hotel,Review 139 Similarity:  0.28347335475692037
50,"I have stay at this hotel for 6 nights for business trip last month. I was really a wonderful experience, everybody in the hotel is friendly and helpful enough, the hotel is located at the center of the city, but quiet anywhere. If I get a chance to Nicosia again,I will book this hotel again.",Altius Boutique Hotel,Review 140 Similarity:  0.10660035817780521
40,"First visit to this hotel which is just a little away from the City Centre effectively in the business district. Extremely pleasant and helpful staff with clean modern rooms. Unlike other posts, the air-con was working fine-so much so we actually turned it off-but perhaps we are used to the Cyprus climate?Road noise was a bit loud but quitened down in the evening.Didn't try the restaurant in the evening but the small bar was adequate. Cold Breakfast was fine but the ""hot"" breakfast was only just acceptable-they need to turn up the temperature on the bains-marie!Parked at the hotel so a bonus there. We will definitely return",Altius Boutique Hotel,Review 141 Similarity:  0.0
20,"Air con: I stayed three nights. The air conditioning was switched off yet it was 26 degrees outside and with 80% humidity (a check on online weather history for Nicosia confirms this for my dates of stay). This meant my sleeping was interrupted and uncomfortable, waking up with beads of sweat on my forehead. Management were unwilling to deal with this claiming aircon was 'automatic' and they could not change it. This was not my problem - I had booked this hotel for aircon and was not provided with it. They then claimed that other guests 'were cold' and so it had been switched off (story number 2). However, each room has its own on/off control and so this second story also does not ring true. In short, the hotel tries to cut costs at guests' expense by switching off the air conditioning you have paid for and then present you with a 'computer says no' response when you can't sleep because of the heat. Oh, and don't think you can open the windows - it is way too noisy outside and this will keep you awake instead. They failed to provide us with a desk fan even after two requests from us - not even willing to compromise. Management then refused to compensate us - even though we had paid up front and wrote an objection on our check out. It is one thing to have broken air conditioning which hotels apologise for, it is quite another to have working air conditioning switched off and then ignore pleas from guests to switch it on. Management completely unwilling to provide what they had advertised and then refused to refund. Other reviews talk about the fact that when the air con is permitted, the hotel switches it off overnight anyway and then back on again - effectively cheating guests in a devious way. Appalling. Do not stay.",Altius Boutique Hotel,Review 142 Similarity:  0.375
30,"Nice hotel, room generally clean and spacious. A bit far out of old town, if u have a car that's not a problem as there is parking at the hotel and only short drive to old town. Breakfast fairly standard, cold Buffett and so-so coffee. The Greek yoghurt was nice tho! The one problem with the hotel is that the aircon is not turned on. I am here now in October, day time temperatures are mid-twenties and the room is very warm at night - I have not been able to sleep for 2 nights due to the heat! After speaking to the receptionist and assistant manager, they tell me they are set to on ""automatic"" and so only come on when temp is over 20c. This is unacceptable for a hotel that advertises having aircon and this being one of the reason for booking this hotel. After asking to speak to the manager we were told he is out of town and cannot be contacted. They are not allowed to manually over ride the aircon to allow us to have it on, so we are left Spending our last night sweating again! Disappointing for an otherwise ok hotel.",Altius Boutique Hotel,Review 143 Similarity:  0.13483997249264842
40,"I had an extended stay here for work and would say it's a true 3 star/boutique hotel: nice rooms and friendly staff but few amenities and some of the linens (towels and sheets) needed replacing. Otherwise the renovations are nice, but the lobby is not air conditioned, thankfully the rooms are! Breakfast and wifi was included which I think is huge; a definite plus and excellent for the value. The wifi was always functioning and very strong. Breakfast was also a nice variety of hot and cold dishes. In terms of location, it is more in a residential area near several embassies and a 10-15 minute walk to old town so not bad.What really sets this hotel apart however is the staff, quite lovely and willing to help at all hours. For example, I was headed out on a hot day and offered a complimentary bottle of cold water to take with me. In my book, such great service gives this 3 star hotel another star.",Altius Boutique Hotel,Review 144 Similarity:  0.1543033499620919
50,"Arrived at night where we were welcomed by a very friendly night attendant, the rest of the staff was also very friendly and helpful. Everybody speaks proper English. Triple room was very good value for money and breakfast was good as well!",Altius Boutique Hotel,Review 145 Similarity:  0.125
30,"on a busy street junction, renovated recently, new materials, new bathrooms but the floor is old and a little dirty, new mattresses, comfortable, big rooms, a little noise from the street if you are on the first floor, wifi is free but sometimes is buffering.only big problem the smell of mold and moisture at the lobby, it is not easy to get used to it.if you get a price more than 55 euros think it again.definitely not a boutique hotel but not bad if you only need to sleep well and go out all day.",Altius Boutique Hotel,Review 146 Similarity:  0.0
