,r_points,r_text,place,No of review,cosine sim,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,scores,compound,score
907,10,"Mass production food, cheap products (eg truffle), terrible cooking (eg. chicken Milanese was over-cooked and burnt), expensive for the poor quality food it offers. We complained at the waitress but the manager did even bother coming to us and offer his apologies.",Jamies Italian,,,Review 291 Similarity,0.36514837200000005,Review 130 Similarity,0.447213595,"{'neg': 0.192, 'neu': 0.808, 'pos': 0.0, 'compound': -0.7935}",-0.7935,neg
929,20,"We called and booked a table as we wanted a quick late lunch: We we taken to our table, sat and waited, warning signs came as the couple on the table next to us were exasperated with waiting for their bill...After a good 10 minutes we ordered, simple salads to start, 20+ minutes later we got the salads, before we finished,and we weren't hanging about, our carbonara dishes were bought and dumped on the table, for me this is the height of bad manners in a restaurant, despite a friendly waitress took an interest in us at the end (tip time?) we felt we were more ""punter"" than customer....Although we have no complaints regarding the food the service has put us off returning.",Jamies Italian,,,Review 286 Similarity,0.46291005,Review 38 Similarity,0.40824829,"{'neg': 0.141, 'neu': 0.814, 'pos': 0.044, 'compound': -0.9007}",-0.9007,neg
954,10,"Worst restaurant ever.. Never saw a more uprofessional bunch of waiiters (one of them tried to discuss his salary with us!), there were no placemats (cutlery direcrtly on the wooden table!), coasters or napkins, the ""food"" was tasteless and greasy. My chicken milanese was thin as paper, deep fried in old oil and served with a sad pile of dry rocket. My friend had a very questionable crab spaghetti (not homemade of course, shame on you, Jamie) which was very acidy and seemed to be rotten. We both left the restaurant feeling literally sick. never going back. Place looks lovely but I came to eat and not to admire interiors.",Jamies Italian,,,Review 368 Similarity,0.15430335,Review 294 Similarity,0.37796447299999997,"{'neg': 0.153, 'neu': 0.799, 'pos': 0.048, 'compound': -0.8876}",-0.8876,neg
955,10,I was dying to go to this restaurant because i looove jamies recipes but this was disappointing. The pasta was mediocre and the service was a bit slow. The staff however was very friendly and polite! I did not like my choice of pasta and they offered to bring me another dish of my liking and did not charge my pasta that i did not like which is nice. Also the garlic bread was a hard like a rock and not even warm. I hope they upgrade the food quality,Jamies Italian,,,Review 95 Similarity,0.204124145,Review 255 Similarity,0.375,"{'neg': 0.187, 'neu': 0.697, 'pos': 0.116, 'compound': -0.6492}",-0.6492,neg
957,20,"We live in the Paphos area and had decided to spend a few days in Nicosia with a visit to Jamie Oliver's new restaurant on my birthday. We went with some friends and we were all very disappointed. The service was good but the food was poor. In fact, the crab starter which two of us had was so bad that we complained (you could not taste the crab) and, in all fairness to the manager, he did not charge us for those starters. The other starter, a chill prawn dish, was so small that the whole thing hardly amounted to a mouthful. The spaghetti with crab was small, not very tasty and contained very little crab. My husband's steak was chewy and sinewy and our friend's crispy squid was not crispy. The only redeeming feature was the desserts. The cost was not cheap. We felt that Jamie Oliver is trying to expand his chain too quickly and quality is suffering without his personal touch. It is a shame, as he is seemingly a very talented chef. We had been looking forward to celebrating my birthday at Jamie Oliver's but the evening was ruined by the poor food.",Jamies Italian,,,Review 366 Similarity,0.29704426300000003,Review 174 Similarity,0.363803438,"{'neg': 0.143, 'neu': 0.783, 'pos': 0.074, 'compound': -0.9574}",-0.9574,neg
962,40,Staff was very politeFood was of average qualityPortions are tinyI would say that this not a value for price place,Jamies Italian,,,Review 21 Similarity,0.288675135,Review 178 Similarity,0.353553391,"{'neg': 0.102, 'neu': 0.898, 'pos': 0.0, 'compound': -0.2584}",-0.2584,neg
970,30,Was invited here when Jamies first opened and enjoyed our visit. Was the first week of opening so still a few teething problems but to be expected when a new place opens. Revisited a couple of times since. A little dissapointed on one of these visits as still have teething problems. I think a visit from Jamie might do the trick!!,Jamies Italian,,,Review 91 Similarity,0.0,Review 322 Similarity,0.353553391,"{'neg': 0.121, 'neu': 0.844, 'pos': 0.036, 'compound': -0.629}",-0.629,neg
999,30,The service was terrible. Starters were not worth trying and were expensive. Main courses were tasteful and of good quantity and quality.,Jamies Italian,,,Review 325 Similarity,0.23570226,Review 234 Similarity,0.288675135,"{'neg': 0.179, 'neu': 0.713, 'pos': 0.109, 'compound': -0.2182}",-0.2182,neg
1002,40,"Excellent food, excellent deco, excellent service but very expensive! We paid 70 euros for 3 people without entrees or desserts! Jamie's Italian in the UK is cheaper! Too bad! People want to return but the prices are forbidding!",Jamies Italian,,,Review 279 Similarity,0.11322770300000001,Review 305 Similarity,0.277350098,"{'neg': 0.198, 'neu': 0.629, 'pos': 0.173, 'compound': -0.6449}",-0.6449,neg
1015,30,"We visited this restaurant with so much enthusiasm and full of high expectations on the food taste and presentation but unfortunately it was a big disappointment. As for the prices, it was very expensive. It is nothing like Jamie Oliver's TV show that everything seems so tasty and fine. Very average, probably won't go again.",Jamies Italian,,,Review 251 Similarity,0.23570226,Review 230 Similarity,0.25,"{'neg': 0.16, 'neu': 0.767, 'pos': 0.073, 'compound': -0.7601}",-0.7601,neg
1025,20,"Visited Jamie's last night for our Departmental Christmas meal. The staff was very attentive, however the big disappointment was the food. The prawn pasta was spongy, the chicken milanese was a very thin piece of chicken fried , the chips were soggy and the salmon was blunt. I would definitely not go back there and I wouldn't recommend it to anyone.",Jamies Italian,,,Review 203 Similarity,0.40824829,Review 90 Similarity,0.223606798,"{'neg': 0.087, 'neu': 0.869, 'pos': 0.043, 'compound': -0.4039}",-0.4039,neg
1026,40,Don’t expect a gourmet experience. You get what one expects from a Jamie’s restaurant. Just above average food at a reasonable price with a good experience. I would go back for a family outing but not for a special night.,Jamies Italian,,,Review 60 Similarity,0.36514837200000005,Review 123 Similarity,0.223606798,"{'neg': 0.081, 'neu': 0.865, 'pos': 0.054, 'compound': -0.2351}",-0.2351,neg
1035,30,"We were excited about visiting our first Jamie's Italian restaurant and were really disappointed with the Nicosia offering. The staff are not smiley and friendly they look like they are doing the job of a brain surgeon how serious the faces and character instead of hospitality, which should be friendly. The food was also disappointing, nothing we could not quickly create at home and rather bland. Portions not generous. Staff no idea about Gluten Free even though it's advertised on the menu. We visited at a lunch time where we were one of maybe 4-5 tables maximum so it wasn't busy but we still didn't receive great service and took a long time to finally get our bill. We won't go back sadly.",Jamies Italian,,,Review 161 Similarity,0.456435465,Review 44 Similarity,0.21821789,"{'neg': 0.137, 'neu': 0.788, 'pos': 0.075, 'compound': -0.7477}",-0.7477,neg
1051,30,I visited restaurant 3-4 times till now but everytime is getting worse. It has many tasteful dishes but honestly the quantity of the food is getting less and less time to time.,Jamies Italian,,,Review 134 Similarity,0.3086067,Review 167 Similarity,0.188982237,"{'neg': 0.112, 'neu': 0.781, 'pos': 0.108, 'compound': -0.0387}",-0.0387,neg
1067,40,"We went there yesterday and it was very nice but not as good as we expected! The servise was exellent and the pasta was good,but the bread was not very fresh and the salad not very tasty!! Overall a good experience!",Jamies Italian,,,Review 222 Similarity,0.369274473,Review 113 Similarity,0.15075567199999998,"{'neg': 0.211, 'neu': 0.747, 'pos': 0.042, 'compound': -0.8445}",-0.8445,neg
1069,20,We only had main dishes and was rather disappointing to notice that the pasta bolognese was over salty and the same was the wild mushroom pasta. Both dishes arrived rather cold only the pizzas were tasty. Service could be better as the restaurant was quite busy at the time. The kids play area was very dirty and half the toys were broken. For a family oriented restaurant this is quite negative atmosphere.,Jamies Italian,,,Review 33 Similarity,0.21081851100000001,Review 248 Similarity,0.15075567199999998,"{'neg': 0.161, 'neu': 0.776, 'pos': 0.063, 'compound': -0.8476}",-0.8476,neg
1072,20,"We visited Jamie's one time some years ago in England and it was very disappointing. So we wanted to give him another chance in Nicosia. We were a group of six person. We ordered the salmon brusquette (6 euros for one brusquette!) and the smoked salmon & crab salad (7 euros), which by the way was not a salad!! The waitress told us that the crab was not actual crab but sauce, but she didn't tell us that it wasn't a salad but only 3 pieces of smoked salmon!! Anyway...! Then some of us had the baked salmon (16.90), one porcini mushroom pasta, one veggie burger and one jamie's burger. The salmon was of good quality and well cooked but it was absolutely tasteless. It said that it's served with salad and grilled vegetables but it was some greens without sauce and 3 tiny pieces of grilled vegetables! The pasta and burger wasn't something special also. And the veggie burger was tasteless also. In overall, their prices were expensive for what you get and the food wasn't tasty or something special... Also, their menu is misleading, they write so many ingredients, but you get tiny portions or something else...!",Jamies Italian,,,Review 170 Similarity,0.33968311,Review 139 Similarity,0.133630621,"{'neg': 0.048, 'neu': 0.913, 'pos': 0.039, 'compound': -0.4313}",-0.4313,neg
1080,10,"After long time I have decided to try Jamie's ... worst decision I have ever made in the last 3 years ... If I was in a local taverna and I would have ordered italian, I would not have expected good italian dishes ... but at Jamie's they serve ""italian"" or supposed to be italian ... !!! The food was terribly cooked ...!!! See you never again ... from an italian client ....",Jamies Italian,,,Review 168 Similarity,0.213200716,Review 247 Similarity,0.088388348,"{'neg': 0.141, 'neu': 0.859, 'pos': 0.0, 'compound': -0.8839}",-0.8839,neg
1089,30,I had lunch there with some collegues. I had the lunch menu. Was so so. It did not taste any special to me. I had the truffle tagliatelle starter and the superfood lunch with avocardo. To be honest was a bit disappointed.,Jamies Italian,,,Review 220 Similarity,0.40824829,Review 91 Similarity,0.0,"{'neg': 0.123, 'neu': 0.802, 'pos': 0.076, 'compound': -0.2635}",-0.2635,neg
1092,20,"Unfortunately not what we expected.Starter where of medium taste and quality but the mains where really really really disappointing.We were a group of nine and all nine dishes were medium to bad quality and taste.Chicken milanese was actually an oily schnitzel, chicken cacciatore tasted nothing like one and so on...Definitely not met our expectations of a Jamie's restaurant and that is sad.We won't visit again.",Jamies Italian,,,Review 369 Similarity,0.40824829,Review 99 Similarity,0.0,"{'neg': 0.132, 'neu': 0.868, 'pos': 0.0, 'compound': -0.8448}",-0.8448,neg
1101,20,"Nothing special in their menu. This time our 3 burgers were average and were all cooked the same even though we ordered them well done and medium. Salads were ok, risotto was poor.This was my 4th visit since they opened and I can't see any improvement. Sorry but it's a big disappointment for me especially for the money we paid.",Jamies Italian,,,Review 19 Similarity,0.288675135,Review 177 Similarity,0.0,"{'neg': 0.142, 'neu': 0.808, 'pos': 0.05, 'compound': -0.7021}",-0.7021,neg
1106,40,After my first visit i was very disappointed. I decided to go there again. Defiantly a huge difference from the first time. We had the squid as a starter my son who does not eat fish loved it. Well done keep up the good work,Jamies Italian,,,Review 182 Similarity,0.288675135,Review 188 Similarity,0.0,"{'neg': 0.131, 'neu': 0.722, 'pos': 0.146, 'compound': -0.0616}",-0.0616,neg
1107,30,We were very excited to eat there but unfortunately we were disappointed. We had tried 3 different pasta dishes and non of it was worth it. They were not bad but definitely not special. Garlic bread was different but again nothing special.,Jamies Italian,,,Review 333 Similarity,0.288675135,Review 195 Similarity,0.0,"{'neg': 0.28, 'neu': 0.58, 'pos': 0.14, 'compound': -0.8376}",-0.8376,neg
1108,30,"Menu is only in English...first negative impression! Both Pork Chops were overcooked! Prawn linguine was just ok. For Four people (with only 1 glass of wine), 2 soft drinks and water, we paid 99 eurossssssss",Jamies Italian,,,Review 344 Similarity,0.288675135,Review 196 Similarity,0.0,"{'neg': 0.096, 'neu': 0.782, 'pos': 0.122, 'compound': -0.2924}",-0.2924,neg
1119,30,"Well, yeah, Jimmy Oliver is a good guy, but this restaurant is not something extraordinary. We had dinner for two. I have a lactose intolerance, yet I'm mad about pasta. I have tried to treat myself to pasta, but that was a damn good fail. They brought me cold pasta. It was a big problem to order it, because restaurant is not ready to deal with problematic customers. My companion said that her pasta was not 5 star, but average.",Jamies Italian,,,Review 231 Similarity,0.166666667,Review 284 Similarity,0.0,"{'neg': 0.233, 'neu': 0.638, 'pos': 0.129, 'compound': -0.9211}",-0.9211,neg
1124,10,"The pasta didn't have any sauce or mushrooms and it was very dry and it was tasteless. The burger was entirely rare (red) and we were afraid to eat it. In general, the meal was terrible and I have heard bad comments from others as well.",Jamies Italian,,,Review 14 Similarity,0.0,Review 312 Similarity,0.0,"{'neg': 0.13, 'neu': 0.828, 'pos': 0.041, 'compound': -0.6705}",-0.6705,neg
1127,10,We had dinner outside in the back yard and it was a terrible experience.There were a few stray cats that were jumping on our table and chairs constantly.The waitress did nothing about it although he saw what was happening.Basically you couldn't enjoy your dinner.,Jamies Italian,,,Review 67 Similarity,0.0,Review 317 Similarity,0.0,"{'neg': 0.125, 'neu': 0.875, 'pos': 0.0, 'compound': -0.6935}",-0.6935,neg
1130,10,I was very disappointed - I cannot eat pepper and when i asked to prepare the meal without it the answer was that they are pre prepared - the burger was fine,Jamies Italian,,,Review 140 Similarity,0.0,Review 326 Similarity,0.0,"{'neg': 0.109, 'neu': 0.772, 'pos': 0.119, 'compound': -0.1761}",-0.1761,neg
1134,10,"The meat I ordered was not fresh, got poisoned really bad. Shame, I really thought better of the place. Never again.",To Elliniko Ouzomezedopoleio,,,Review 68 Similarity,0.0,Review 201 Similarity,1.0,"{'neg': 0.316, 'neu': 0.484, 'pos': 0.201, 'compound': -0.515}",-0.515,neg
1249,30,"Nice menu with delicious, freshly made and tasteful dishes but the price and quantity is disappointing",To Elliniko Ouzomezedopoleio,,,Review 120 Similarity,0.27050089,Review 89 Similarity,0.0,"{'neg': 0.2, 'neu': 0.603, 'pos': 0.197, 'compound': -0.2617}",-0.2617,neg
1286,20,"It wasn't what it was expected to be; thoroughly underwhelmed expectations. Food was neither the best in its category, nor the cheapest, nor memorable, nor worth it. I guess what I'm trying to say is it's ok if you're there and you're getting something fast for the road but I wouldn't plan a night out there.",To Elliniko Ouzomezedopoleio,,,Review 98 Similarity,0.156173762,Review 146 Similarity,0.0,"{'neg': 0.04, 'neu': 0.909, 'pos': 0.052, 'compound': -0.0868}",-0.0868,neg
1304,30,Although the decoration and the atmosphere is nice i got disappointed by the food. i have ordered the melomeno pork fillet which was overcooked and dry.,To Elliniko Ouzomezedopoleio,,,Review 228 Similarity,0.090166963,Review 178 Similarity,0.0,"{'neg': 0.111, 'neu': 0.789, 'pos': 0.1, 'compound': -0.0772}",-0.0772,neg
1310,20,"The atmosphere was very nice. Service was good as well. Very friendly staff and helpful though, the dish I ordered was a fish- that was so salty it was impossible to eat. i ordered some vegetables in adition so i coulf try to it the fish with the vegetables but it didnt help a lot. At the end they got wrong the bill two times in raw",To Elliniko Ouzomezedopoleio,,,Review 244 Similarity,0.063757671,Review 190 Similarity,0.0,"{'neg': 0.098, 'neu': 0.767, 'pos': 0.135, 'compound': -0.0885}",-0.0885,neg
