,r_points,r_text,place,No of review,cosine sim,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,scores,compound,score
291,50,"The staff are incredibly helpful and generous. I arrived at 7:00 am after travelling through the night, intending to confirm my reservation later that day and use the wifi/charge my phone. The gentleman at the front desk not only let me check in at 7:30am (normal check in time is listed as 2:00pm) but also offered me a cappuccino and free breakfast buffet while they got the room together. Even without the early check in and additional free breakfast, it would have been an excellent deal. Very close to the close to the old city and very clean room. The only thing that could conceivably have improved my experience, would be slightly softer pillows. I can't imagine a better hotel in a similar price range. I will definitely be staying here next time I'm in Cyprus.",Altius Boutique Hotel,,,Review 86 Similarity,0.21821789,Review 73 Similarity,0.281718085,"{'neg': 0.02, 'neu': 0.785, 'pos': 0.194, 'compound': 0.9815}",0.9815,pos
292,50,"I am visiting Nicosia very often for business purpose; this is my first time to stay at Altius Boutique hotelThe staff is very friendly and very professional Very good breakfast, no charge for late checkout.Highly recommended!Definitely I will come again.Arie",Altius Boutique Hotel,,,Review 127 Similarity,0.333333333,Review 44 Similarity,0.25819889,"{'neg': 0.055, 'neu': 0.783, 'pos': 0.162, 'compound': 0.6983}",0.6983,pos
293,30,"I visited it in late June to attend my graduation along with my husband. The staff were friendly and helpful. Disappointed our room had no fridge and ironing facilities. We had to ask for an ironing set. The bathroom was moderate, the bathtub was at a very high-level from the ground and the basin water's flow little. Surely expected more!",Altius Boutique Hotel,,,Review 44 Similarity,0.25,Review 66 Similarity,0.25819889,"{'neg': 0.079, 'neu': 0.789, 'pos': 0.132, 'compound': 0.5572}",0.5572,pos
295,40,"Friendliness and availability of the staff will be remembered as example for every hotel. I even felt very protected when I got a call during the night with the question if everything was OK because they got (after all) a (false) signal of the smoke alarm in my room. Big room and smaller bathroom, which could use some renewal here and there (box with tissues might be a tip). Decent breakfast and relax atmosphere. 20 minutes walk of the city center and it is getting used to few comfortable pedestrian facilities on that traject, but weather was always good to do the walk. Good price/quality.",Altius Boutique Hotel,,,Review 96 Similarity,0.23570226,Review 69 Similarity,0.24343224800000002,"{'neg': 0.015, 'neu': 0.825, 'pos': 0.16, 'compound': 0.9344}",0.9344,pos
296,30,"So I'm told that this place was recently renovated, but it appears it is still undergoing some work. I moved a total of three times as a result of the air conditioning failing in two rooms, and one room being without hot water for 24 hours. The entire third floor smelled like an airport smoking room despite all rooms apparently being designated non-smoking (the smell even wafts in through the room's air-con vents so there is no escape even in the room) and there were no kitchen staff available to provide lunch at 12:30pm on a Friday. Most of the reception staff are very friendly and helpful and want to make you happy when you bring these things to their attention, but unfortunately the only solution is to make you move to another room. Also you may still get door knocks from some staff when you display the 'do not disturb' sign. Good location and relatively cheap compared to similar hotels in the area, but overall not worth the two or three hundred euros I saved by not staying elsewhere.",Altius Boutique Hotel,,,Review 81 Similarity,0.385758375,Review 24 Similarity,0.239045722,"{'neg': 0.091, 'neu': 0.765, 'pos': 0.144, 'compound': 0.9026}",0.9026,pos
297,50,"Very clean,very friendly and helpful staff,room was perfect.Nice location.The staff were very nice,free wifi,fruit on arrival in the room,plus a kettle, tea and coffee and water.when we arrived they even offered us champagne or anything else we wanted to drink,only stayed one night but i would go again.",Altius Boutique Hotel,,,Review 89 Similarity,0.22941573399999998,Review 70 Similarity,0.23693955100000003,"{'neg': 0.0, 'neu': 0.882, 'pos': 0.118, 'compound': 0.5774}",0.5774,pos
299,30,"Helpful and friendly staff, modern entrance and bedroom.However, the room was not very clean and the bathroom needs urgent renovation.Good location, 15 minutes walk to city centre and 10 minutes walk to bus station.",Altius Boutique Hotel,,,Review 165 Similarity,0.144337567,Review 104 Similarity,0.223606798,"{'neg': 0.061, 'neu': 0.745, 'pos': 0.194, 'compound': 0.6514}",0.6514,pos
300,40,"The staff were very friendly. The first room that they gave me stank of cigarette smoke but the reception was very quick to change the room. The second room was perfectly clean and sufficient. It is very basic but perfect for my needs. The breakfast was OK, I have had better but what was on offer was fine.",Altius Boutique Hotel,,,Review 1 Similarity,0.41602514700000004,Review 13 Similarity,0.214834462,"{'neg': 0.025, 'neu': 0.629, 'pos': 0.346, 'compound': 0.9799}",0.9799,pos
301,50,"It is my fourth time at the Altius.Friendly, attentive and generous.Large room.Very clean room.Good breakfast.Quiet location.Walking distance to University and city center.By the river promenade.For sure will return once I am back in Nicosia.",Altius Boutique Hotel,,,Review 55 Similarity,0.41602514700000004,Review 15 Similarity,0.214834462,"{'neg': 0.0, 'neu': 0.861, 'pos': 0.139, 'compound': 0.6124}",0.6124,pos
302,30,"I couldn't really complain too much about my stay here. The rooms are fairly basic in terms of decor but my room had a nice balcony (although views are of other buildings and a road), a fridge, a hairdryer, desk , couch, and decent enough tv.I was missing a bathmat 2 of the days i stayed there which meant water went all over the bathroom as its a bath shower. One of my towels was a bit grim one of the days i didn't use it for that reason but other than that the place was clean and comfortable.Staff were very nice and helpfulBreakfast was basic enough but again had everything you'd want really.No draught beer in the bar which was a bit disappointing and the location isn't amazing. Its about a 20 minute walk from ledras street and whilst there are a one or two cafes and restaurants within 10 minutes there isn't an abundance of choice closeby.Overall i was satisfied and cant really complain",Altius Boutique Hotel,,,Review 24 Similarity,0.277350098,Review 59 Similarity,0.214834462,"{'neg': 0.092, 'neu': 0.79, 'pos': 0.118, 'compound': 0.3602}",0.3602,pos
303,40,"I stayed here twice on separate business trips and I didn't hesitate to go back based on the wonderful service! Rooms are simple but comfortable, the breakfast buffet is more than reasonable, free wifi, a short walk into the old city, but it was the front of house staff that made it all worthwhile. Welcoming, friendly, helpful and informative. Thanks!",Altius Boutique Hotel,,,Review 100 Similarity,0.138675049,Review 106 Similarity,0.214834462,"{'neg': 0.0, 'neu': 0.597, 'pos': 0.403, 'compound': 0.9866}",0.9866,pos
304,40,Excellent value for money. The staff is helpful and kind.Would recommend for short stays especially.The breakfast was included in the price of the room and was very generous.The bathroom is not renovated.,Altius Boutique Hotel,,,Review 129 Similarity,0.204124145,Review 77 Similarity,0.21081851100000001,"{'neg': 0.0, 'neu': 0.711, 'pos': 0.289, 'compound': 0.886}",0.886,pos
305,50,"I was quite satisfied with the quality of the rooms; the lobby decor, the breakfast (usually included), cleanliness, and the location (few minutes ride to center of city or about 20-25 minutes on foot). I especially was impressed with the staff; who not only made every effort to make me comfortable they were also pleasant (and spoke English very well - tolerating my broken Greek too boot).",Altius Boutique Hotel,,,Review 90 Similarity,0.0,Review 147 Similarity,0.21081851100000001,"{'neg': 0.04, 'neu': 0.744, 'pos': 0.216, 'compound': 0.9093}",0.9093,pos
306,40,"I was coming for a three days business trip. The room was correct and clean, and the bed comfortable. The breakfast was not the best I had but honest. The staff was extremely polite and dedicated. For this kind of stay : leaving early and coming back late, the place was perfectly fulfilling my expectations.",Altius Boutique Hotel,,,Review 2 Similarity,0.37796447299999997,Review 25 Similarity,0.195180015,"{'neg': 0.033, 'neu': 0.684, 'pos': 0.283, 'compound': 0.9549}",0.9549,pos
307,40,"Good location, newly decorated, clean. The lobby is superb with a smoking area on the terrace. Bed very very comfortable - room is fine for the rating. Only negative comment is TV has Cypriot channels only. I hope they introduce IPTV. F&B is fine although breakfast could be better in terms of choice. The staff are 100% and in particular the wonderful Elle - the assistant manager. Yes i would visit again.",Altius Boutique Hotel,,,Review 28 Similarity,0.188982237,Review 83 Similarity,0.195180015,"{'neg': 0.041, 'neu': 0.617, 'pos': 0.342, 'compound': 0.9744}",0.9744,pos
308,50,"Arrived at night where we were welcomed by a very friendly night attendant, the rest of the staff was also very friendly and helpful. Everybody speaks proper English. Triple room was very good value for money and breakfast was good as well!",Altius Boutique Hotel,,,Review 145 Similarity,0.125,Review 118 Similarity,0.19364916699999998,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.9716}",0.9716,pos
309,30,"I was staying in Altius in May for busines and the only word, which comes to my mind is ""basic"". Air conditioning in the room wasn't working properly and there was a persistent smell of sewage in the lobby. You can walk to the city centre but this is a 25-30 min walk, which is not a nice walk. The nearest cash point is half way though this walk. All in all, you can stay here if you are after an inexpensive stay. Mind you the hotel is sandwiched between two busy roads and it can be quite noisy. On a positive side, the staff were very friednly, Altius offers a good breakfast and there is a decent bar. WiFi was poor",Altius Boutique Hotel,,,Review 23 Similarity,0.441941738,Review 10 Similarity,0.18257418600000003,"{'neg': 0.075, 'neu': 0.846, 'pos': 0.079, 'compound': 0.1426}",0.1426,pos
310,50,"Super welcome, super staff, super facilities. I was attending a European meeting and we all agreed that the facilities were ideal with different spaces available for different types of work. Really enjoyed my stay and will return again.",Altius Boutique Hotel,,,Review 31 Similarity,0.353553391,Review 33 Similarity,0.18257418600000003,"{'neg': 0.0, 'neu': 0.549, 'pos': 0.451, 'compound': 0.9744}",0.9744,pos
311,40,"I accompanied a group of 20 college students for a study-abroad class, and we had a great experience staying at the altius. The location was convenient and the staff was very helpful. They called cabs for us frequently. They let us store a large equipment case at the front desk and gave us access to it whenever we needed it. The waiter in the breakfast room knew my morning coffee order by the second day and brought it before I even asked. The rooms were serviced regularly and well.",Altius Boutique Hotel,,,Review 54 Similarity,0.353553391,Review 34 Similarity,0.18257418600000003,"{'neg': 0.0, 'neu': 0.896, 'pos': 0.104, 'compound': 0.8516}",0.8516,pos
312,20,"I have been hosted in a room dedicated for disabled people, without me knowing it ahead of time. When I asked from the reception to change they told me that there is no other room available, it was already 21:00 o clock. Once I had a shower it was not possible to enter to the bath room again, (see picture) unless I take into consideration that I had to get wet shoes and underwear! There is an instant coffee maker (water heater), no sugar, no spoon. The room is at the first floor that is very noisy from the street that is in front of the hotel. There is a nice family feast aura to just across the street, that makes life easier for lunch or dinner. Breakfast I will comment once I get the experience.",Altius Boutique Hotel,,,Review 12 Similarity,0.447213595,Review 8 Similarity,0.173205081,"{'neg': 0.063, 'neu': 0.871, 'pos': 0.066, 'compound': 0.318}",0.318,pos
313,40,"Staff at reception was very helpful and always smiling especially Aneliya she was very welcoming and her smile is always on, we had smelly room when we arrived but she acted fast and made a free upgrade to a suite and was really quick.............",Altius Boutique Hotel,,,Review 84 Similarity,0.288675135,Review 54 Similarity,0.14907119800000002,"{'neg': 0.0, 'neu': 0.75, 'pos': 0.25, 'compound': 0.8845}",0.8845,pos
314,40,"We stayed here 3 nights. Staff were very obliging, and like a previous reviewer, I noticed that the waiter remembered my breakfast tea preferences by second day. Reasonably priced and acceptable evening menu.",Altius Boutique Hotel,,,Review 49 Similarity,0.0,Review 136 Similarity,0.14907119800000002,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.6204}",0.6204,pos
315,30,"The people at the Altius are agreeable, helpful and eager to please. The bedrooms are dated and tired. Two examples. 1. Our bathroom had no grab handle or support when getting into/out of the bath/shower (perilous for those with stiff backs) and the floor, while clean, showed wear and tear. 2. The desk has no power points: the nearest one was used by room's standing lamp - at least 3 power points by the desk are needed (more are desirable).",Altius Boutique Hotel,,,Review 8 Similarity,0.5,Review 2 Similarity,0.129099445,"{'neg': 0.079, 'neu': 0.749, 'pos': 0.172, 'compound': 0.8176}",0.8176,pos
317,50,All Stars Bar is fantastic with good atmoshere and good prices and very good service from the staff.Clean and nice room with a city view. (Free wi-fi) I loved my stay there and i will definitely stay again.,Altius Boutique Hotel,,,Review 67 Similarity,0.45883146799999996,Review 7 Similarity,0.118469776,"{'neg': 0.0, 'neu': 0.563, 'pos': 0.437, 'compound': 0.967}",0.967,pos
318,30,Definitely a bit off the beaten path. Other reviews mentioned air conditioning problems and I too experienced them - room was very stuffy - when a/c did work it did bring a bit of relief. The staff is great and does their best to make your stay pleasant. Traffic noise was evident even on the 4th floor. There are a few restaurants and cafes in few minutes walking distance. Breakfast was nice but would have liked more than one cup of coffee.,Altius Boutique Hotel,,,Review 147 Similarity,0.40824829,Review 17 Similarity,0.105409255,"{'neg': 0.043, 'neu': 0.765, 'pos': 0.192, 'compound': 0.9011}",0.9011,pos
320,30,"An event booked for a conference where I was a speaker for a local company! The space was semi clean, the table clothes had been used before us and were wrinkled! The coffee service was slow. This is a beautiful place with good energy and good people working there but somehow they keep missing points on cleanliness, quality and speed of service! This is my second not so good experience there! I do wish them well!",Altius Boutique Hotel,,,Review 22 Similarity,0.267261242,Review 63 Similarity,0.069006556,"{'neg': 0.033, 'neu': 0.72, 'pos': 0.247, 'compound': 0.9448}",0.9448,pos
321,40,"Very clean.Excellent and abundant breakfast. Facilities in the room in very good working condition; including the availability of internet. Internet had very good reception at all times of the day. Since I was on a business trip, this was essential for me.What impressed me mainly was the great and warm hospitality by the employees: at the reception, dining room, cleaners....Thank you for a very comfortable stay.",Altius Boutique Hotel,,,Review 120 Similarity,0.387298335,Review 21 Similarity,0.066666667,"{'neg': 0.0, 'neu': 0.749, 'pos': 0.251, 'compound': 0.9588}",0.9588,pos
322,40,"The room was spacious and nicely designed.The stuff was attentive to help and assist in every matter I approached them.Comfortable location - 15 minutes from down town (by the archaeological museum).Very generous breakfast.Will come back once I am again in Nicosia on business tour.[The only drawback was unstable WiFi in my room due to technical problem, though I was easily offered a new room - which I refused.)",Altius Boutique Hotel,,,Review 137 Similarity,0.387298335,Review 22 Similarity,0.066666667,"{'neg': 0.073, 'neu': 0.754, 'pos': 0.173, 'compound': 0.7351}",0.7351,pos
324,40,"I enjoyed the stay, They immediately served a welcome drink, allowed a late checkout, Personnel was very pleasant. Excellent bed, not too soft, not too hard. Stay was not expensive at all. It was together with the dinner a night to be remembered.",Altius Boutique Hotel,,,Review 115 Similarity,0.40824829,Review 16 Similarity,0.0,"{'neg': 0.0, 'neu': 0.692, 'pos': 0.308, 'compound': 0.9345}",0.9345,pos
325,30,"I stayed here in September 2019. I stayed for one night. The room I had was very simple and dated. It was a pace to sleep and lock up my luggage, but I had a room overlooking two busy streets from the second floor, so it was noisy until late in the evening. Fine seafood dining is available at Pyxida a short 15 minute walk away. make reservations; this excellent restaurant is very busy. Also right across the street is Pantopoleio another excellent and less-pricey restaurant.",Altius Boutique Hotel,,,Review 3 Similarity,0.267261242,Review 62 Similarity,0.0,"{'neg': 0.027, 'neu': 0.817, 'pos': 0.156, 'compound': 0.931}",0.931,pos
326,50,"everyone was helping with anything I asked. WiFi available, quiet place and peaceful. nice terrace outdoor with a breeze. modification on booking dates or times was no hustle. reception personnel very polite and great help.",Altius Boutique Hotel,,,Review 82 Similarity,0.0,Review 145 Similarity,0.0,"{'neg': 0.049, 'neu': 0.607, 'pos': 0.343, 'compound': 0.9196}",0.9196,pos
327,50,"Great location near old downtown and great restaurants. Near park and pool. Centrally located in a residential neighborhood so it is nice and quiet not in the commercial district, but close to everything.",Altius Boutique Hotel,,,Review 99 Similarity,0.0,Review 148 Similarity,0.0,"{'neg': 0.0, 'neu': 0.803, 'pos': 0.197, 'compound': 0.7296}",0.7296,pos
329,40,Booked an Executive room and was very impressed by the size when entering the room. Furnishings are a little old but still OK. Had the worst nights sleep ever. My room 209 was overlooking a function room. I arrived back at 12:00 AM after dinner with my business partner to hear alot of commotion outside the room and the room pounding from the music in the function room. Saying to myself this will not go on for much longer I tried to sleep but it was impossible and too late at night to move rooms. Eventually it must have finished at around 2 AM. I later found out that this was a graduation party. Next problem was that I was awoken at around 6 AM with bright sunlight pouring into the room as the curtains would not close properly. Not a good start to a business trip.Food is very good and Executive facilities also good with nice snacks and a 2 hour happy hour for HHonors and Exec room guests.Although didn't use the other facilities the pool did look very inviting. I usually stay at the other Hilton in Lefkosia and will think twice about returning here.,Hilton Nicosia,,,Review 622 Similarity,0.454344111,Review 81 Similarity,0.509524665,"{'neg': 0.086, 'neu': 0.795, 'pos': 0.119, 'compound': 0.7969}",0.7969,pos
330,50,"Had various excellent stays in the Hilton Park over the last years. Does not look fancy from the outside, but rooms, lobby, restaurant etc. are nice and very clean. Pool area with bar and gym are great. Can also recommend connected restaurants (Greek and Asian). Outstanding is the friendly and welcoming service, starting from reception to room cleaning and breakfast service. The staff makes the difference and deserves 5 points rating!",Hilton Nicosia,,,Review 157 Similarity,0.466569475,Review 64 Similarity,0.503952631,"{'neg': 0.0, 'neu': 0.642, 'pos': 0.358, 'compound': 0.9882}",0.9882,pos
331,50,Check=in was very fast. Friendly and efficient staff. Always ready to help. Rooms and public areas were well maintained and very clean. Food at the restaurant and breakfast buffet was excellent. View from the room was great and out of the room you could see the lobby even from top floor.,Hilton Nicosia,,,Review 611 Similarity,0.46291005,Review 76 Similarity,0.5,"{'neg': 0.0, 'neu': 0.601, 'pos': 0.399, 'compound': 0.9758}",0.9758,pos
332,50,"Absolutely amazing staff at this Hilton hotel, everyone, from reception, to breakfast room staff and management were outstanding and so service minded, our family felt treated so well, rooms were big, nice and clean, pool area is great but the service and hospitality from all the staff was outstanding a 11 out of 10",Hilton Nicosia,,,Review 284 Similarity,0.501550391,Review 23 Similarity,0.481543412,"{'neg': 0.0, 'neu': 0.711, 'pos': 0.289, 'compound': 0.9495}",0.9495,pos
333,40,Stayed here for three nights in July 2016. Hotel facilities and staff are excellent. Buffet breakfast is wonderful. Unfortunately our room had a strong cigarette smell. Hotel was 'fully occupied' so we didnt have much choice. They changed our room next day and the new room was OK. Suggest they might ban smoking within the hotel as guests appear to smoke on their balconies with sliding doors left open.,Hilton Nicosia,,,Review 449 Similarity,0.45584230600000003,Review 78 Similarity,0.481543412,"{'neg': 0.073, 'neu': 0.759, 'pos': 0.167, 'compound': 0.824}",0.824,pos
334,40,Check in was great and I had an executive room on the 2nd floor facing the car park. The room was large and seemed fairly modern but the bathroom felt a little more dated but clean. I was given some water in the room on the 1st day but this was never replaced during the whole stay which seemed strange as I was in an executive room. The lounge access area was not that impressive as the menu was limited and also it was not set in an exclusive area like some hotels as it was on the ground floor near other public areas. Breakfast was good with a wide enough range although I could not tell if fresh omelettes or poached eggs could be ordered. The staff were very attentive and smiley. Only other incident was that I could not seem to park in the customer parking when the barrier was down. I did speak to concierge and they said there was a problem and I would need to get out of my car and then ask concierge to open the barrier or drive up to the front of the hotel and ask them and so then park the car. I ended up parking on the public areas and all was fine.,Hilton Nicosia,,,Review 362 Similarity,0.40089186299999996,Review 176 Similarity,0.48112522399999996,"{'neg': 0.077, 'neu': 0.828, 'pos': 0.095, 'compound': 0.7091}",0.7091,pos
335,50,"I visited this beautiful hotel with my husband for our friends' wedding last week and stayed in for 5 days. Perfectly located in a peaceful area, very close to the city center, with many trees around, it is ideal for relaxation. Every single corner is perfectly decorated. The venue bar offers exceptional drinks, coffees and food, all fresh and delicious. The various facilities, gym, beauty salon, japanese and greek restaurant covered all our needs. The breakfast area was just amazing and there were plenty of best quality food options. The room was spacy, extremely clean, the mattress and pillows very comfortable! Best sleep in my life.. We could operate the room temperature as we liked. I cannot remember even one person of the staff not being helpful and willing to help with anything we asked for, from room and laundry services to general pieces of information about the city. For those who would like to plan am event, there are various halls for any kind of event and people who perfectly organize all the special occasions. We enjoyed the wedding party of our friends, in a big hall, perfectly air- conditioned, with great service and delicious food! The only thing somebody could complain about is the fact that there is free wifi only into the public areas, but sitting in the luxury lobby to surf is just enjoyable, so I don't think that's a real problem..I can't wait to be back sometime soon! Thank you all for your great hospitality!",Hilton Nicosia,,,Review 577 Similarity,0.48997894399999997,Review 35 Similarity,0.474578998,"{'neg': 0.012, 'neu': 0.727, 'pos': 0.261, 'compound': 0.996}",0.996,pos
336,40,The staff was great. Very helpful. The room was comfortable and had a small personal balcony. The breakfast buffet was probably one of the best. The only negative was the pressure of the hand-held shower. The shower head was fine - - only the hand-held seemed restricted in some way.,Hilton Nicosia,,,Review 176 Similarity,0.327326835,Review 319 Similarity,0.471404521,"{'neg': 0.133, 'neu': 0.609, 'pos': 0.258, 'compound': 0.8399}",0.8399,pos
338,50,"One of the best hotels I stayed in. Room was quite spacious and clean. Personnel did best to get you feel privileged. I really enjoyed big and great equipped gym, altough it was quite crowded in the evening. Another highlight was breakfast with fresh coffee, orange juice and wide offering of dishes.",Hilton Nicosia,,,Review 714 Similarity,0.303045763,Review 371 Similarity,0.471404521,"{'neg': 0.0, 'neu': 0.612, 'pos': 0.388, 'compound': 0.9791}",0.9791,pos
339,50,I was really satisfied with our stay!!! The breakfast was excellent!!! the room was clean and the stuff were polite with us!!!:) is near the down town of nicosia and also there are restaurants and cafes near it!!!,Hilton Nicosia,,,Review 646 Similarity,0.202030509,Review 497 Similarity,0.471404521,"{'neg': 0.0, 'neu': 0.761, 'pos': 0.239, 'compound': 0.8924}",0.8924,pos
341,50,"I visited Hilton Park Nicosia with my husband and parents for 5 days. On arrival we received a very warm and friendly welcome & were upgraded to a lovely spacious room.There are a couple of restaurants on site to visit, our favourite was the Greek restaurant which served wonderful fresh food and plenty of local wines to try.The pool area is very big so there are plenty of sunbeds and space to relax in the sunshine.We received wonderful service from all of the staff, but a special thanks to Maria (Breakfast restaurant) and Stella (Marketing)We will definitely be visiting again and would highly recommend this hotel.Mr & Mrs Langton",Hilton Nicosia,,,Review 55 Similarity,0.48304589200000003,Review 42 Similarity,0.46291005,"{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.9802}",0.9802,pos
342,40,"I stayed in an exec room with pool view and also booked the curium board room for meetings. The exec room was big and comfortable but a little short on expectation. The Curium Board room and services were brilliant, only comment would be a wall screen for power point presentations. Staff, absolutely a credit to the brand, excellent. Pool area brilliant!",Hilton Nicosia,,,Review 320 Similarity,0.267261242,Review 414 Similarity,0.461880215,"{'neg': 0.0, 'neu': 0.705, 'pos': 0.295, 'compound': 0.9742}",0.9742,pos
343,50,"I decided to stay at Hilton Park Nicosia because during my last holiday I really enjoyed time spent at this hotel. I was greeted with a smile from the receptionist and I got my room really early which was a nice gesture. I got the upgrade to King Executive Room with a view on the swimming pool. The room was exactly the same like the last time. Executive Lounge was also nice and the service in all places I went was amazing: breakfast room (Greek girl greeting people is so kind!!!), restaurant, reception and the gym. Everyone is so kind and nice....Last time I visited the hotel I wrote a comment on TA which was published in the hotel's magazine! I will definitely return next time.",Hilton Nicosia,,,Review 213 Similarity,0.45232785,Review 86 Similarity,0.450987617,"{'neg': 0.0, 'neu': 0.752, 'pos': 0.248, 'compound': 0.9857}",0.9857,pos
344,50,"Good location. Nice Breakfast/Lunch/Dinner food selection.The gym is renovated, large in size, and has lots of facilities.The staff are very friendly and room service is good.Would definitely recommend this hotel!!",Hilton Nicosia,,,Review 716 Similarity,1.0,Review 1 Similarity,0.447213595,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.9322}",0.9322,pos
346,50,"My friend & I stayed at this hotel for a short break & booked an Executive room. As a HH Diamond member I always receive an upgrade on arrival, however, on this occasion I did not & we were given an Executive room overlooking the car park, which was a huge disappointment. However, I asked to be moved & we were provided the same standard of room 2 hours later, but overlooking the pool, which was better. I was surprised that we did not receive water in the room every day (again, this is typical for an Executive Room / HH Diamond member), however, these were the only hiccups. What I really liked about the hotel was that, as there is no Executive Lounge per se, & the hotel is utilised instead, that we received free soft drinks by the pool, as well as in the hotel bar. We also had the usual evening service in the hotel bar, which made a very nice change. The hotel breakfast was excellent, as was the food by the pool. The service from the staff is outstanding. I pay particular thanks to Alex & Andrei at the pool bar & all the ladies in the hotel bar. Also, the maître de at breakfast. I apologise for not remembering all the names. In addition, Jannis at the concierge desk was able to arrange a taxi to take us to Kyrenia for the day, stay with us & return us later that afternoon. Finally, the hotel is well located for Ledra Crossing, which was 8 Euros in a taxi each way. I would definitely stay here again if I return to Nicosia.",Hilton Nicosia,,,Review 250 Similarity,0.45175395100000004,Review 87 Similarity,0.439155033,"{'neg': 0.022, 'neu': 0.792, 'pos': 0.186, 'compound': 0.9938}",0.9938,pos
347,40,"Levelled with Hilton worldwide.Room have all standard equipment, still look quite basic.Breakfast ok, good entrance hall and relax area with swimming pool.Amazing gym (open also to external people), with saunaFriendly staffPlease consider it is a couple of km outside city centre",Hilton Nicosia,,,Review 575 Similarity,0.505076272,Review 16 Similarity,0.43643578,"{'neg': 0.0, 'neu': 0.812, 'pos': 0.188, 'compound': 0.8197}",0.8197,pos
348,50,"I was very impressed at the service and did appreciate that at 1 am when we checked in we could get a plate of hot food, its not many places you find after 12 dinner services, and the breakfast was a great selections for every taste. I recommend anyone who wants to go there to stay at this hotel,",Hilton Nicosia,,,Review 706 Similarity,0.43643578,Review 112 Similarity,0.43643578,"{'neg': 0.0, 'neu': 0.798, 'pos': 0.202, 'compound': 0.9134}",0.9134,pos
349,40,After a bad start to our stay this hotel was fabulous for our family. It is modern and sleek. Breakfast is large and good quality. The freshly made omelettes were delicious - thank you Natalie.Very accommodating and friendly to baby and child.Room service was exceptional - large portions and beautifully presented.They Provided complimentary delicious cake and champagne for husbands birthday.Lagoon pool was large and clean.Things which made this not a perfect stay- Parking gate didn’t work which was frustrating- despite confirming the need for cot and bed guards in the room this wasn’t set up and waited over an hour after a long flight to be set up for the kids.- loud noise at 6am on the roof on the first night - apparently moving something up there waking us all up.PR manager Stella was brilliant - always welcoming every morning and listened to our concerns from our unfortunate bad start and ensured remaining of our stay was perfect.Will definitely stay here again when in Nicosia with the family.,Hilton Nicosia,,,Review 67 Similarity,0.404061018,Review 149 Similarity,0.43643578,"{'neg': 0.08, 'neu': 0.73, 'pos': 0.189, 'compound': 0.967}",0.967,pos
350,50,"Must be the best hotel I have stayed in Nicosia! The room was quite large and well decorated, the bathroom was clean, the breakfast was excellent and had a lot of choices. Would definitely visit again in the future.",Hilton Nicosia,,,Review 68 Similarity,0.303045763,Review 364 Similarity,0.43643578,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.9428}",0.9428,pos
351,50,"Beautiful surroundings and excellent breakfast. Great service, made my stay so much more valuable. Close to all amenities and not far from the center of town. The hotel has a business center with computers, internet access and printers.",Hilton Nicosia,,,Review 308 Similarity,0.303045763,Review 367 Similarity,0.43643578,"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.9465}",0.9465,pos
352,50,I've stayed at this hotel quite a lot recently and I was never disappointed! The service is excellent the rooms are large and comfortable and the breakfast is varied and satisfying! It's just a little bit far by foot from the old city and the tourist region...,Hilton Nicosia,,,Review 733 Similarity,0.303045763,Review 372 Similarity,0.43643578,"{'neg': 0.0, 'neu': 0.753, 'pos': 0.247, 'compound': 0.9207}",0.9207,pos
353,50,"Everything was brilliant! I was upgraded to a better room upon arrival. Staff was always eager and happy to be of assistance. The room was very spacious, with great view to the pool. Also wi-fi connection was extremely reliable.",Hilton Nicosia,,,Review 341 Similarity,0.283473355,Review 395 Similarity,0.43643578,"{'neg': 0.0, 'neu': 0.646, 'pos': 0.354, 'compound': 0.9556}",0.9556,pos
354,40,"We met the best staff at Hilton Park Nicosia ever.The rooms will need some renovation soon, but in general they are not in bad condition. In my room the air conditioning was quite noisy, while in my colleague's room it was quiet (newer model).At breakfast you might find two very helpful person, Evelina and Alexandra. They ask about your problems and needs and find a solution for you. Never seen better!The pool is also nice. Big enough to swim in it.We had a great time there and recovery after our meetings.",Hilton Nicosia,,,Review 244 Similarity,0.33407655199999997,Review 307 Similarity,0.433012702,"{'neg': 0.055, 'neu': 0.735, 'pos': 0.21, 'compound': 0.9588}",0.9588,pos
355,50,Last saturday i made a room reservation at hilton park nicosia! I attend a wedding the service was excellent as well as the food! For sure hilton park is the number one place for weddings! It was an amazing night! Also the room was very clean with a nice view! Breakfast was more than enough with a friendly service! I will sure visit again hilton park nicosia,Hilton Nicosia,,,Review 729 Similarity,0.318727629,Review 345 Similarity,0.43033148299999996,"{'neg': 0.0, 'neu': 0.663, 'pos': 0.337, 'compound': 0.9748}",0.9748,pos
